Rank,Country
1,China
2,Poland
3,Republic of Korea
4,Japan
5,United States of America
6,Belarus
7,Russia
8,France
8,Turkey
10,Georgia
11,Taiwan
12,Israel
13,Canada
14,Romania
15,Australia
16,Iran
17,Vietnam
18,Hong Kong
19,Italy
20,Ukraine
21,Indonesia
22,Croatia
23,Singapore
24,Hungary
25,Lithuania
25,Serbia
27,United Kingdom
28,Latvia
29,Thailand
30,Germany
31,Czech Republic
32,Slovakia
33,Greece
34,Sweden
35,Bulgaria
36,Netherlands
37,Macedonia
38,Cuba
39,Estonia
40,Kazakhstan
41,Bangladesh
42,Argentina
43,Chile
44,Belgium
45,Norway
46,Philippines
47,Brazil
47,Finland
49,Turkmenistan
50,Austria
51,Syria
52,Slovenia
53,Egypt
54,Spain
55,Malaysia
56,Mexico
57,Moldova
58,Denmark
59,Tajikistan
60,Portugal
61,India
62,Armenia
63,Jordan
64,Azerbaijan
65,Mongolia
66,Kyrgyzstan
67,Switzerland
68,Ireland
69,Cyprus
70,South Africa
71,Bosnia and Herzegovina
72,Tunisia
72,Colombia
74,Luxembourg
75,New Zealand
76,Uzbekistan
77,Morocco
78,Montenegro
79,Macau
79,Bolivia
79,Iceland
79,El Salvador
83,Palestine
84,Sri Lanka
84,Dominican Republic
86,Venezuela
86,Nigeria
