Rank,Country
1,China
2,Russia
3,United States of America
4,Belarus
5,Brazil
6,Taiwan
6,Thailand
6,Iran
6,Republic of Korea
6,Hong Kong
6,Hungary
6,Lithuania
13,Finland
14,Japan
14,Poland
14,Bulgaria
14,Romania
14,Turkey
14,Kazakhstan
14,Ukraine
14,Slovakia
14,France
14,Australia
14,Switzerland
14,Serbia
14,Mexico
14,India
14,Spain
14,Latvia
30,Croatia
30,Singapore
30,Vietnam
30,Czech Republic
30,Egypt
30,Germany
30,Colombia
30,Italy
30,Indonesia
30,Sweden
30,Macedonia
30,Estonia
30,Armenia
30,Denmark
30,New Zealand
30,Netherlands
30,Austria
30,Belgium
30,Sri Lanka
30,Greece
30,Mongolia
30,Ghana
52,South Africa
52,Bosnia and Herzegovina
52,Slovenia
55,Israel
55,United Kingdom
55,Portugal
55,Luxembourg
59,Canada
59,Bangladesh
61,Norway
62,Georgia
62,Syria
62,Tajikistan
62,Macau
62,Kyrgyzstan
62,Ireland
68,Montenegro
69,Argentina
69,Turkmenistan
71,Azerbaijan
72,Venezuela
73,Albania
74,Moldova
75,Cyprus
76,Kuwait
76,Nigeria
78,United Arab Emirates
