Rank,Country
1,Poland
2,Republic of Korea
3,China
4,Belarus
5,Israel
6,Russia
7,Hong Kong
8,Turkey
9,Japan
9,Romania
9,United Kingdom
12,United States of America
12,Hungary
14,Canada
14,Serbia
16,Macedonia
17,Italy
18,Indonesia
19,Croatia
20,Georgia
20,Argentina
22,Iran
23,Australia
24,Czech Republic
25,Ukraine
26,Taiwan
27,Vietnam
28,Estonia
29,Singapore
30,Netherlands
31,France
32,Slovakia
33,Lithuania
34,Germany
35,Chile
36,Sweden
37,Bulgaria
38,Cuba
39,Belgium
40,Latvia
40,Spain
42,Thailand
43,Norway
44,Greece
45,Denmark
46,Brazil
47,Austria
48,Kazakhstan
49,Portugal
50,India
51,Slovenia
52,Tajikistan
53,Philippines
54,Moldova
55,Finland
56,Colombia
57,Malaysia
57,Kyrgyzstan
59,South Africa
60,Egypt
61,Mexico
62,Syria
63,Jordan
63,Azerbaijan
65,Cyprus
66,Mongolia
67,Tunisia
68,Bangladesh
69,Bosnia and Herzegovina
69,Armenia
71,Switzerland
72,Montenegro
73,Luxembourg
73,New Zealand
75,Uzbekistan
75,Macau
75,Bolivia
75,Iceland
75,El Salvador
80,Palestine
81,Ireland
81,Morocco
81,Sri Lanka
81,Dominican Republic
85,Turkmenistan
85,Venezuela
85,Nigeria
