Rank,Country
1,China
1,Republic of Korea
1,United States of America
1,Bulgaria
1,Iran
1,Australia
1,Poland
1,Israel
1,Sweden
1,Singapore
1,Croatia
1,Estonia
13,Russia
13,Slovakia
13,Serbia
16,Romania
16,Japan
16,Indonesia
16,Italy
16,Latvia
16,Hong Kong
16,Malaysia
16,United Kingdom
16,Netherlands
16,France
26,Belarus
27,Belgium
27,Armenia
29,Vietnam
29,Georgia
29,Taiwan
29,Brazil
29,Mexico
29,Lithuania
29,Hungary
29,Germany
29,Colombia
38,Turkey
38,Kazakhstan
40,Ukraine
41,New Zealand
42,Macedonia
43,India
43,Czech Republic
43,Egypt
46,Slovenia
47,Finland
48,South Africa
49,Canada
49,Bangladesh
49,Norway
52,Denmark
52,Switzerland
54,Thailand
54,Austria
54,Greece
54,Trinidad and Tobago
58,Cyprus
59,Turkmenistan
60,Venezuela
60,Kyrgyzstan
62,Azerbaijan
63,Argentina
64,Spain
65,Ireland
66,Bosnia and Herzegovina
67,Tajikistan
67,Macau
69,Portugal
70,Mongolia
71,Montenegro
71,Sri Lanka
73,Bolivia
74,Tunisia
75,Luxembourg
76,Chile
77,Kuwait
78,Libya
78,Nigeria
