Rank,Country
1,China
2,Hong Kong
3,Russia
4,Croatia
5,United States of America
6,Republic of Korea
7,Philippines
8,Japan
9,Czech Republic
10,Slovakia
11,Poland
12,Turkey
12,United Kingdom
14,India
14,Italy
16,Romania
17,Iran
18,Ukraine
19,Taiwan
20,Singapore
20,Sweden
22,Canada
23,Austria
24,Bulgaria
25,Netherlands
26,Israel
27,Indonesia
28,Brazil
29,Cuba
30,Armenia
31,Vietnam
31,Cyprus
33,Estonia
34,Malaysia
35,Latvia
36,Germany
36,Azerbaijan
36,Montenegro
39,Australia
40,Singapore 2
41,New Zealand
42,Belarus
42,Hungary
44,Moldova
44,Chile
46,Norway
47,Macau
48,Denmark
49,Iceland
50,Finland
51,Switzerland
51,Egypt
51,Bosnia and Herzegovina
54,Slovenia
54,Lithuania
56,Tajikistan
56,Georgia
58,South Africa
59,Serbia
59,Thailand
59,Syria
59,Ireland
59,Mexico
64,Bangladesh
64,Kyrgyzstan
64,France
64,Macedonia
64,Portugal
64,Spain
64,Belgium
64,Sri Lanka
72,Morocco
73,Kazakhstan
73,Mongolia
73,Tunisia
73,Argentina
73,Saudi Arabia
73,Turkmenistan
73,Palestine
73,Bolivia
73,Uzbekistan
73,Jordan
73,Greece
73,El Salvador
73,Luxembourg
73,Colombia
73,Venezuela
73,Dominican Republic
73,Nigeria
