Rank,Country
1,China
2,United States of America
3,Australia
4,Taiwan
5,Russia
6,Iran
7,Republic of Korea
8,Japan
9,Romania
9,Thailand
11,Slovakia
12,Singapore
13,Hong Kong
14,Poland
15,Bulgaria
16,Vietnam
17,Latvia
18,Turkey
19,Serbia
20,Brazil
21,India
22,Georgia
23,Armenia
24,Canada
25,Croatia
26,Germany
27,Israel
28,Kazakhstan
29,Mexico
30,Sweden
31,Czech Republic
32,Finland
33,Belarus
34,Ukraine
35,Indonesia
36,Macedonia
37,France
38,Austria
39,Malaysia
40,Syria
41,Slovenia
42,Hungary
43,Italy
44,Lithuania
45,Estonia
46,Tajikistan
47,Bangladesh
48,Moldova
49,Greece
50,Spain
51,South Africa
52,United Kingdom
53,Switzerland
54,Netherlands
55,Cyprus
56,Norway
56,Ireland
58,New Zealand
59,Luxembourg
60,Belgium
61,Mongolia
62,Turkmenistan
63,Cuba
64,Bosnia and Herzegovina
65,Egypt
66,Argentina
67,Denmark
68,Chile
69,Tunisia
70,Portugal
71,Azerbaijan
72,Sri Lanka
73,Montenegro
74,Colombia
75,Macau
76,Kyrgyzstan
77,Bolivia
78,Venezuela
79,Jordan
80,Libya
81,Nigeria
81,Kuwait
