Country,Rating,Rank
Russia,2254.8349740724198,1
United States of America,2224.1522815400112,2
Japan,2222.350360103307,3
Taiwan,2157.8316363750964,4
Lithuania,2137.3896308413555,5
Romania,2122.6511026346784,6
Iran,2090.7244898651616,7
China,2085.55495545996,8
Finland,2030.7945592845042,9
Canada,2008.6242441123466,10
Singapore,2004.4053700799413,11
United Kingdom,1984.9983368591631,12
Slovakia,1976.8316293060682,13
Republic of Korea,1968.629971477351,14
Brazil,1965.140789078123,15
Belarus,1950.7615849232996,16
Kazakhstan,1941.7963960394975,17
Italy,1881.2316438851472,18
Hong Kong,1875.8813100999828,19
Mexico,1866.5476317849611,20
Sweden,1861.8514955485186,21
Germany,1844.788361741753,22
Croatia,1826.5858398315765,23
Bulgaria,1805.1501497339625,24
Poland,1794.0430377276375,25
Czech Republic,1782.101427998586,26
South Africa,1749.5630976975558,27
Vietnam,1747.8268951250363,28
Thailand,1698.4475433180528,29
Estonia,1675.2857436492495,30
France,1666.7826291454364,31
Hungary,1660.5223396641868,32
Indonesia,1653.9031541337151,33
Switzerland,1647.300555339446,34
Latvia,1607.6271233778984,35
Denmark,1599.981807234138,36
Netherlands,1599.7024074967194,37
Greece,1588.0285448486595,38
Australia,1584.7673121453352,39
Serbia,1581.3090480913686,40
Argentina,1581.2120433511475,41
Belgium,1556.0686847717536,42
Turkey,1513.8935219906077,43
Slovenia,1473.8476381536868,44
Israel,1463.9582866766323,45
Portugal,1438.1447837283933,46
Ukraine,1399.0169830811922,47
Luxembourg,1395.4662824748054,48
Bosnia and Herzegovina,1366.4234394020782,49
India,1364.538902338657,50
Bangladesh,1327.4943299151655,51
Austria,1310.6781504910089,52
Spain,1300.796556153628,53
Malaysia,1281.9139747793902,54
Macedonia,1273.933563537255,55
Egypt,1253.6825693447113,56
Norway,1251.0561995483758,57
Colombia,1230.5670353643295,58
New Zealand,1197.3749157667742,59
Trinidad and Tobago,1152.0095886666536,60
Armenia,1149.6392799157425,61
Cyprus,1143.8189219795252,62
Bolivia,1115.6024471842143,63
Moldova,1091.9597018513027,64
Macau,1074.1320095988385,65
Venezuela,1059.754175898204,66
Ireland,1059.3458084945862,67
Georgia,1052.8873712414313,68
Albania,1043.8823738828935,69
Libya,1039.5482397918875,70
Chile,1036.5182965539732,71
Cuba,1023.5673050580588,72
Kyrgyzstan,976.5966953615128,73
Mongolia,956.5410299393675,74
Azerbaijan,941.6712357577024,75
Turkmenistan,935.0850323963346,76
Syria,896.4575992355941,77
Tajikistan,845.6485232191054,78
Montenegro,816.7487079718225,79
Kuwait,791.4824480740575,80
Nigeria,771.7073637661699,81
