Country,Rating,Rank,,,,
China,3398.292779,1,,,,1541.692252
United States of America,3268.575234,2,,,,875.5572978
Russia,3180.576849,3,,,,
Japan,3115.934361,4,,,,
Republic of Korea,3007.832682,5,,,,
Canada,2900.821866,6,,,,
Iran,2831.756973,7,,,,
Ukraine,2782.938006,8,,,,
Taiwan,2772.856072,9,,,,
Croatia,2761.089392,10,,,,
Singapore,2751.64162,11,,,,
Romania,2742.747635,12,,,,
Poland,2691.184134,13,,,,
Vietnam,2550.349816,14,,,,
Israel,2474.290583,15,,,,
Australia,2450.817203,16,,,,
Bulgaria,2444.719272,17,,,,
Indonesia,2409.643815,18,,,,
Belarus,2389.33154,19,,,,
Hong Kong,2352.459903,20,,,,
Italy,2316.994675,21,,,,
India,2258.516859,22,,,,
Hungary,2232.164416,23,,,,
Turkey,2225.592023,24,,,,
Slovakia,2154.892987,25,,,,
Bangladesh,2090.495929,26,,,,
Brazil,2069.350681,27,,,,
Kazakhstan,2061.181822,28,,,,
United Kingdom,2048.453947,29,,,,
Czech Republic,1970.387146,30,,,,
Serbia,1930.496737,31,,,,
Germany,1883.561137,32,,,,
France,1842.469732,33,,,,
Lithuania,1778.681261,34,,,,
Philippines,1764.979407,35,,,,
Netherlands,1762.587713,36,,,,
Malaysia,1743.038128,37,,,,
Georgia,1700.610595,38,,,,
Armenia,1663.163941,39,,,,
Thailand,1661.434634,40,,,,
Switzerland,1581.810295,41,,,,
Egypt,1569.403911,42,0.03165031,,,
Finland,1543.931201,43,,,,
Macedonia,1541.097549,44,,,,
Sweden,1533.961463,45,,,,
Slovenia,1473.058974,46,,,,
Macau,1429.375343,47,,,,
Kyrgyzstan,1399.041037,48,,,,
Estonia,1365.888134,49,,,,
Belgium,1329.155439,50,,,,
Mexico,1301.784155,51,,,,
Cuba,1286.726363,52,,,,
Cyprus,1285.535475,53,,,,
Latvia,1244.267758,54,,,,
Mongolia,1199.071044,55,,,,
Denmark,1155.246543,56,,,,
Syria,1154.425765,57,,,,
Moldova,1119.305161,58,,,,
Spain,1115.340584,59,,,,
Norway,1073.12651,60,,,,
Peru,1064.091156,61,,,,
New Zealand,1063.047324,62,,,,
South Africa,1062.495845,63,,,,
Montenegro,1028.347865,64,,,,
Austria,1013.179763,65,,,,
Saudi Arabia,975.832561,66,,,,
Azerbaijan,970.3150625,67,,,,
Ecuador,859.3374952,68,,,,
Tajikistan,859.0010486,69,,,,
Bosnia and Herzegovina,849.0367034,70,,,,
Portugal,832.7045764,71,,,,
Iceland,769.2605845,72,,,,
Ireland,759.3321463,73,,,,
Greece,754.3988817,74,,,,
Argentina,729.0938976,75,,,,
Tunisia,662.6442182,76,,,,
Jordan,575.4963397,77,,,,
Chile,556.7474933,78,,,,
Palestine,453.3818723,79,,,,
Morocco,435.301084,80,,,,
Uzbekistan,391.6609507,81,,,,
Sri Lanka,363.5388423,82,,,,
El Salvador,278.7947618,83,,,,
Turkmenistan,273.5113546,84,,,,
Colombia,165.4497672,85,,,,
Bolivia,131.2984234,86,,,,
Luxembourg,91.54802081,87,,,,
Dominican Republic,46.48234337,88,,,,
Venezuela,-113.6664358,89,,,,
Nigeria,-287.8275135,90,,,,
