Country,Rating,Rank
Russia,2528.5319262966973,1
United States of America,2418.573771037187,2
Japan,2201.5543587753364,3
Romania,2089.174612129825,4
Iran,2033.0443733781442,5
Lithuania,1997.9596863261881,6
China,1992.7046369913894,7
Taiwan,1960.3778698017236,8
Slovakia,1840.2707001439765,9
Belarus,1812.6131838906201,10
Republic of Korea,1767.7549375156013,11
Czech Republic,1738.162602424846,12
Croatia,1723.6835995239662,13
Singapore,1723.4553025534763,14
Finland,1692.052858802407,15
Brazil,1672.665370008338,16
Canada,1660.6164967192908,17
Sweden,1603.0103361204808,18
United Kingdom,1587.17181966201,19
Mexico,1574.474438494615,20
Germany,1569.4496970094262,21
Kazakhstan,1566.9044516795345,22
Bulgaria,1563.1012884868744,23
Thailand,1548.373747324095,24
Hong Kong,1540.8091836896258,25
Vietnam,1523.694333270703,26
Turkey,1507.5764007588125,27
Australia,1485.3521163410617,28
Latvia,1482.4011674447097,29
Poland,1476.3656042546072,30
Estonia,1465.2734284422438,31
Serbia,1453.2340623980595,32
Italy,1450.6563875918023,33
Israel,1334.9076352844447,34
Indonesia,1297.3277339224578,35
Netherlands,1283.0265084278435,36
Hungary,1258.8783892964377,37
South Africa,1231.3371523427982,38
Denmark,1213.325164634726,39
India,1185.531946129137,40
Switzerland,1177.5577906174371,41
Ukraine,1159.5886161083383,42
France,1154.316989398369,43
Colombia,1135.0126659606829,44
Slovenia,1131.5504314863774,45
Belgium,1126.4500881180147,46
Greece,1123.5896753595725,47
Egypt,1098.175083713431,48
Malaysia,1091.8731867525546,49
Bosnia and Herzegovina,947.9188739610146,50
Luxembourg,932.8859295200938,51
Austria,920.3135182434509,52
Spain,916.2205381483153,53
Macedonia,913.774678153937,54
New Zealand,910.3774693675571,55
Portugal,851.4485441095209,56
Georgia,849.8384318001074,57
Chile,833.997612717557,58
Armenia,827.33355795717,59
Tunisia,815.9305917830611,60
Bangladesh,813.2062480518744,61
Argentina,807.1723518566207,62
Trinidad and Tobago,789.1233440117422,63
Bolivia,780.3759300907832,64
Sri Lanka,778.0619360811168,65
Mongolia,717.1916566450442,66
Ireland,708.5888940127871,67
Norway,704.9961548365416,68
Cyprus,609.1775040333787,69
Libya,603.2150712822652,70
Macau,581.8951783966752,71
Azerbaijan,559.4074306868907,72
Kyrgyzstan,499.01372345117375,73
Tajikistan,478.4988071286817,74
Turkmenistan,473.2329306162287,75
Montenegro,436.7224700668133,76
Venezuela,385.7598572141523,77
Kuwait,220.42556892300217,78
Nigeria,112.74790286279764,79
