Country,Rating,Rank
China,57.06275625326458,1
United States of America,56.35983834241984,2
Russia,55.61209530210155,3
Japan,52.2688383932461,4
Republic of Korea,50.2523229671545,5
Iran,49.95779878288904,6
Romania,47.894583601999265,7
Taiwan,46.66012780582985,8
Australia,44.984828474986294,9
Poland,44.002049297843996,10
Canada,43.47945913527439,11
Vietnam,43.207268824726945,12
Singapore,43.18844558431171,13
Croatia,41.88478275703446,14
Bulgaria,40.76586614340242,15
Belarus,40.34079725728718,16
Hong Kong,40.12605024391697,17
Slovakia,38.48998863880731,18
Italy,37.914486515688104,19
Indonesia,37.74897415338088,20
Ukraine,36.78365128101918,21
Sweden,36.664049968338745,22
Kazakhstan,36.64253715695077,23
Serbia,36.19190917565112,24
Israel,35.09212299705658,25
Hungary,34.988914187363704,26
Turkey,34.5756357273732,27
United Kingdom,34.41211647707077,28
Czech Republic,33.627301475974754,29
Thailand,33.61042761874904,30
Georgia,33.59617636296084,31
Lithuania,32.304952938958195,32
France,32.215034925909315,33
Finland,31.502304052017536,34
India,30.49844552693166,35
Latvia,29.84804448110678,36
Germany,29.8466976885088,37
Brazil,29.482690826157185,38
Estonia,27.317781806696228,39
Mexico,24.66848865837614,40
Bangladesh,23.193504704320933,41
Greece,22.263869612487152,42
Armenia,22.213070823072076,43
South Africa,21.428048371560124,44
Macedonia,19.938876597691035,45
Belgium,19.69649740458832,46
Malaysia,19.349077452523133,47
Egypt,19.312473964301578,48
Philippines,18.38667055695195,49
Switzerland,18.10659640592899,50
Netherlands,17.81019002151712,51
New Zealand,17.579184209982365,52
Syria,16.6480960530848,53
Austria,16.33993463215624,54
Denmark,16.321130127489596,55
Slovenia,15.043433462848412,56
Norway,14.69192637243671,57
Spain,14.478137353564751,58
Portugal,11.931919762819462,59
Cuba,11.4376597850772,60
Argentina,11.293940696335538,61
Mongolia,10.272442789235965,62
Cyprus,9.562399429461003,63
Tajikistan,9.038806814238963,64
Kyrgyzstan,8.634257631136272,65
Macau,8.066870838165514,66
Jordan,7.9063988813619925,67
Chile,7.5981706446208666,68
Iceland,7.447511761425853,69
Ireland,7.07614368399997,70
Bosnia and Herzegovina,7.052463105865718,71
Colombia,6.232659438592955,72
Turkmenistan,5.669476964359048,73
Azerbaijan,5.138923432758039,74
Luxembourg,5.075316667324663,75
Saudi Arabia,4.039773221982941,76
Tunisia,2.3497988273960027,77
Montenegro,1.6189185718085288,78
Morocco,-0.8601681009438553,79
Sri Lanka,-0.9619807596443327,80
Uzbekistan,-1.016438211648874,81
Dominican Republic,-2.001488072642424,82
Bolivia,-3.341607245273111,83
El Salvador,-5.937597632226673,84
Venezuela,-6.069008008739142,85
Palestine,-6.498022663574467,86
Nigeria,-7.8214370353472455,87
