Country,Rating,Rank
China,3122.9688067163916,1
United States of America,2948.075444279544,2
Russia,2837.4784204371126,3
Republic of Korea,2825.782870225368,4
Japan,2814.997245259655,5
Iran,2794.7279332278113,6
Vietnam,2754.798107970718,7
Canada,2716.5442392848113,8
Taiwan,2633.893592976469,9
Singapore,2627.8136569906655,10
Croatia,2530.613161153272,11
Ukraine,2526.691959623219,12
Bulgaria,2409.350188262983,13
Slovakia,2408.5306706222996,14
Hong Kong,2370.839641336874,15
Indonesia,2356.4282699210858,16
Poland,2338.541935678592,17
Israel,2273.006066194777,18
Romania,2249.5567237523815,19
Serbia,2162.5320427104566,20
Belarus,2144.3356588080655,21
India,2100.9126611101074,22
Kazakhstan,2092.3833251076926,23
Czech Republic,2051.4109404558767,24
Switzerland,1932.0627947580035,25
France,1892.2037057627158,26
Georgia,1883.6346527164524,27
Mongolia,1855.884239492121,28
Brazil,1817.6169296622268,29
Philippines,1779.6539810272159,30
Netherlands,1761.0060439374436,31
Slovenia,1740.2300878936007,32
Finland,1736.0959463827153,33
Armenia,1713.176269516636,34
Bangladesh,1704.4492373455157,35
Turkey,1692.939760408951,36
Italy,1668.6073919611742,37
Estonia,1659.724711643073,38
Australia,1655.4886977406911,39
United Kingdom,1654.385480076885,40
Cyprus,1648.9617343599873,41
Moldova,1640.8492504800283,42
Macedonia,1632.5797563965832,43
Egypt,1595.2663139390993,44
Malaysia,1594.094387406217,45
Kyrgyzstan,1586.9780151714242,46
Latvia,1576.3111817936797,47
Hungary,1500.1905738957714,48
Syria,1472.543044399267,49
Germany,1445.2641541471985,50
Thailand,1444.884756227651,51
Mexico,1425.8381024201506,52
Lithuania,1414.0360679730713,53
Portugal,1405.1392012549136,54
Sweden,1321.005390337437,55
Cuba,1302.4968653284334,56
Singapore 2,1270.237642237284,57
Argentina,1205.0514638316117,58
Jordan,1197.6051508287242,59
Norway,1158.6529442292265,60
Azerbaijan,1105.3083776034644,61
South Africa,1039.2356229058248,62
Morocco,990.4610032364624,63
Greece,986.8311950590648,64
Tajikistan,982.7222179152005,65
Saudi Arabia,931.4482328097224,66
Turkmenistan,925.2133069281938,67
Ireland,923.2658102916372,68
Tunisia,882.7314261426301,69
Belgium,868.6383179171173,70
New Zealand,855.5463533810773,71
Austria,824.2786832424986,72
Spain,750.4924131467626,73
Macau,747.5989092645364,74
Sri Lanka,707.1633878245848,75
Montenegro,683.8991914547287,76
Colombia,673.3574460116182,77
Iceland,665.6000347955272,78
Uzbekistan,661.5572040300169,79
Denmark,628.8371696706325,80
Bosnia and Herzegovina,620.4978693884434,81
Palestine,563.5456309619346,82
Chile,527.722803024146,83
Luxembourg,413.96540351530297,84
El Salvador,403.98025966676965,85
Venezuela,394.7823693428186,86
Bolivia,328.9244518648542,87
Dominican Republic,323.170477217076,88
Nigeria,8.516223926356936,89
