Country,Rating,Rank,,,,
China,3219.791573,1,,,,1546.960152
United States of America,3063.008321,2,,,,764.3292693
Russia,2946.897766,3,,,,
Japan,2944.721862,4,,,,
Iran,2899.631097,5,,,,
Republic of Korea,2893.027256,6,,,,
Canada,2797.49488,7,,,,
Vietnam,2795.812981,8,,,,
Taiwan,2766.547106,9,,,,
Ukraine,2647.952922,10,,,,
Singapore,2631.027903,11,,,,
Croatia,2622.465557,12,,,,
Bulgaria,2469.454495,13,,,,
Poland,2464.542499,14,,,,
Indonesia,2420.958113,15,,,,
Romania,2420.352172,16,,,,
Israel,2407.84665,17,,,,
Hong Kong,2312.760829,18,,,,
Belarus,2215.006872,19,,,,
Kazakhstan,2196.899012,20,,,,
Slovakia,2171.15521,21,,,,
India,2160.260605,22,,,,
Serbia,2156.713123,23,,,,
Brazil,2059.76532,24,,,,
Georgia,2005.488986,25,,,,
Turkey,1999.742284,26,,,,
France,1953.865655,27,,,,
Australia,1950.798786,28,,,,
Malaysia,1876.529568,29,,,,
Bangladesh,1833.442584,30,,,,
Macedonia,1819.372026,31,,,,
Slovenia,1798.252747,32,,,,
Mongolia,1775.391194,33,,,,
Italy,1771.734682,34,,,,
Kyrgyzstan,1753.676112,35,,,,
Latvia,1681.757508,36,,,,
Philippines,1670.009636,37,,,,
Germany,1660.46272,38,,,,
Netherlands,1659.619381,39,,,,
United Kingdom,1621.850545,40,,,,
Armenia,1613.810409,41,,,,
Czech Republic,1585.732837,42,,,,
Hungary,1551.296943,43,,,,
Syria,1470.206018,44,,,,
Egypt,1460.909265,45,-0.112583529,,,
Switzerland,1401.315326,46,,,,
Cyprus,1401.209391,47,,,,
Moldova,1383.501655,48,,,,
Thailand,1351.812859,49,,,,
Peru,1343.205209,50,,,,
Macau,1323.338669,51,,,,
Cuba,1316.956809,52,,,,
Morocco,1307.607309,53,,,,
Finland,1271.570421,54,,,,
Turkmenistan,1242.901587,55,,,,
Lithuania,1230.789152,56,,,,
Estonia,1203.426792,57,,,,
Mexico,1169.777312,58,,,,
Montenegro,1156.413194,59,,,,
Sweden,1136.786609,60,,,,
Tunisia,1125.991412,61,,,,
Tajikistan,1111.152137,62,,,,
Denmark,1107.73982,63,,,,
Belgium,1096.436847,64,,,,
Azerbaijan,1063.417868,65,,,,
Portugal,1058.300193,66,,,,
New Zealand,986.7677191,67,,,,
Norway,880.3545201,68,,,,
Bosnia and Herzegovina,866.8475411,69,,,,
Ecuador,856.5326613,70,,,,
Spain,835.3854626,71,,,,
South Africa,799.1091785,72,,,,
Saudi Arabia,783.3774872,73,,,,
Argentina,779.9982753,74,,,,
Austria,762.692739,75,,,,
Dominican Republic,752.9483365,76,,,,
Jordan,728.4761566,77,,,,
Greece,705.8559732,78,,,,
Palestine,696.0937033,79,,,,
Uzbekistan,691.8253747,80,,,,
Ireland,653.7910087,81,,,,
Iceland,560.1352214,82,,,,
Sri Lanka,553.7332947,83,,,,
Venezuela,546.7531726,84,,,,
El Salvador,433.0879588,85,,,,
Colombia,405.5205695,86,,,,
Chile,357.9639342,87,,,,
Bolivia,316.615175,88,,,,
Luxembourg,263.1523457,89,,,,
Nigeria,7.701247392,90,,,,
