Country,Rating,Rank
China,4640.874820319408,1
Russia,4506.686354004554,2
United States of America,4326.151735092271,3
Belarus,4084.1401674051217,4
Iran,4027.978428979456,5
Taiwan,3949.2155506506897,6
Republic of Korea,3942.8383113416417,7
Bulgaria,3896.9700250406554,8
Japan,3895.273517983234,9
Romania,3758.6977070699572,10
Ukraine,3676.7598723857204,11
Poland,3608.6937999664206,12
Australia,3560.3433675910896,13
Vietnam,3476.9696292171557,14
Thailand,3465.3067415839087,15
Slovakia,3459.010732635969,16
Serbia,3455.1195122134327,17
Brazil,3391.4303322485316,18
Hong Kong,3358.0432769321533,19
Kazakhstan,3334.830654353552,20
Indonesia,3318.389496274593,21
Singapore,3297.867863136835,22
Croatia,3224.595534063735,23
France,3123.833783492375,24
Turkey,3112.129507189659,25
Israel,2972.772345753342,26
Italy,2682.8714057174234,27
Canada,2669.561465680317,28
Lithuania,2656.9065683080635,29
Hungary,2641.952497522503,30
India,2636.244534578596,31
Macedonia,2465.386447897083,32
Latvia,2425.015789091803,33
Finland,2026.5627303218168,34
Mexico,2021.574851638825,35
Georgia,1973.929764524436,36
Philippines,1844.6056475212442,37
Sweden,1839.2616734091193,38
Czech Republic,1699.8301309915482,39
Germany,1512.4909312616037,40
Armenia,1425.9959452213905,41
Malaysia,1339.6683340554425,42
Estonia,1267.916664484947,43
Bangladesh,1027.4249801909186,44
Egypt,1002.468148030321,45
Peru,954.6322631923018,46
Switzerland,874.486561235772,47
Syria,729.0445648235064,48
Netherlands,692.7297171578066,49
Cuba,675.6238255357472,50
Mongolia,616.3655684787752,51
Ecuador,550.0,52
Greece,495.49988944576796,53
Slovenia,404.9240225672446,54
Spain,375.11438855477275,55
Jordan,-44.70382762729565,56
Belgium,-157.43275933869347,57
New Zealand,-282.11851474741627,58
Moldova,-283.2242382367932,59
Austria,-292.05683606775926,60
United Kingdom,-358.3741840161688,61
Saudi Arabia,-373.4255374230558,62
Denmark,-418.30791778295725,63
Colombia,-561.3241441707924,64
Portugal,-666.8692483059048,65
Turkmenistan,-729.1801455800277,66
Kyrgyzstan,-738.0267436768409,67
South Africa,-741.5018983449114,68
Iceland,-814.4996461969653,69
Uzbekistan,-847.917507721836,70
Sri Lanka,-856.0371533816842,71
Tajikistan,-1020.4001919086052,72
Morocco,-1063.3400450301733,73
El Salvador,-1114.5776552377336,74
Dominican Republic,-1114.5776552377336,75
Norway,-1136.6740047546625,76
Luxembourg,-1152.770520589589,77
Tunisia,-1176.4315284870725,78
Palestine,-1189.2857142857142,79
Bolivia,-1192.2640028521869,80
Bosnia and Herzegovina,-1202.7682107842415,81
Azerbaijan,-1275.93480561344,82
Cyprus,-1318.5834236283968,83
Montenegro,-1319.6131999335275,84
Argentina,-1321.7166861123333,85
Ireland,-1345.278167964589,86
Venezuela,-1447.7560824373213,87
Macau,-1486.6981314265115,88
Chile,-1530.7643812485521,89
Nigeria,-1992.1393780995922,90
