Country,Rating,Rank
China,54.00571660544292,1
Russia,49.271399074206364,2
United States of America,47.87696424056954,3
Iran,45.48798807602351,4
Republic of Korea,42.68731834262042,5
Japan,41.99420766187165,6
Vietnam,41.14701353618574,7
Taiwan,39.524431976780555,8
Bulgaria,39.30203625688617,9
Belarus,38.96958066734159,10
Ukraine,38.40134372082736,11
Romania,38.19489780707677,12
Israel,36.83767316335533,13
Canada,36.69409415814146,14
Croatia,36.685121875700155,15
Indonesia,35.57838551479519,16
Singapore,35.42355744183604,17
Serbia,35.27668028942071,18
Australia,35.16218031710545,19
Poland,34.61461769195989,20
Slovakia,33.65749741657976,21
Kazakhstan,33.09623777124002,22
Thailand,32.882470904204546,23
Georgia,32.2653243992353,24
Hong Kong,31.614020255142265,25
France,31.39415185534883,26
Turkey,30.204219652555235,27
Italy,29.8096926555348,28
Brazil,29.673978536264727,29
Sweden,29.30397796361061,30
Macedonia,27.476542501871595,31
Philippines,26.64349363407988,32
Bangladesh,26.627865501862402,33
Syria,26.527607275131302,34
Lithuania,25.791569202205984,35
Jordan,25.58350642307687,36
India,25.50107499702929,37
Estonia,25.154620903122158,38
Latvia,25.115123113200386,39
Hungary,24.48659991452989,40
Mexico,24.457092622216543,41
Czech Republic,24.31636184431231,42
Malaysia,23.78310642020002,43
Finland,23.5410432261432,44
Cuba,23.470152495612123,45
Germany,22.877424615442465,46
Greece,22.444006030926285,47
Egypt,22.047618231876616,48
Armenia,21.813927418533446,49
Slovenia,20.980080488423003,50
Netherlands,20.18247039516646,51
Kyrgyzstan,19.213945211256167,52
United Kingdom,18.945600071277592,53
Mongolia,18.90565758262475,54
New Zealand,18.720843962099107,55
Belgium,18.5219657782407,56
Switzerland,17.570057453225825,57
Portugal,17.398286475787888,58
South Africa,17.08554621891847,59
Cyprus,17.049990075798924,60
Turkmenistan,17.037872383731756,61
Austria,16.474920837400234,62
Spain,16.237425090089673,63
Azerbaijan,15.928587637911411,64
Argentina,15.569442488101467,65
Colombia,15.417431658781304,66
Denmark,14.355347787930622,67
Norway,14.19343540362406,68
Tajikistan,13.955797851971889,69
Ireland,13.945626128717233,70
Saudi Arabia,12.473165308732124,71
Bosnia and Herzegovina,11.333802964046697,72
Montenegro,10.819480942615685,73
Sri Lanka,10.223681086653507,74
Macau,10.178869326189941,75
Chile,10.016491230501847,76
Luxembourg,9.919901278156221,77
Tunisia,9.714226221552112,78
Venezuela,9.019271101431313,79
Morocco,7.378917026894338,80
Iceland,7.256565603658932,81
Uzbekistan,7.185823918510282,82
Bolivia,7.036329390647239,83
Dominican Republic,3.232567751313503,84
El Salvador,2.632161752366124,85
Nigeria,1.0618878604120394,86
Palestine,0.7969155505285395,87
