Country,Rating,Rank
China,2724.221264971239,1
Russia,2662.133620529951,2
Iran,2591.0507722511475,3
United States of America,2527.8470544094635,4
Japan,2490.4763299545475,5
Poland,2484.5788521927193,6
Republic of Korea,2437.9535705160615,7
Taiwan,2382.0159552367963,8
Singapore,2381.6782335000216,9
Vietnam,2300.051843867449,10
Croatia,2274.772778438645,11
Belarus,2226.6750452277092,12
Australia,2200.6605379320667,13
Romania,2163.9259296405926,14
Canada,2158.775166120253,15
Bulgaria,2135.634850581464,16
Kazakhstan,2110.001311603433,17
Thailand,2095.527828335996,18
Hong Kong,2057.5901141690138,19
Ukraine,2054.205935949873,20
Georgia,2052.691364912323,21
France,2037.0150900413914,22
Serbia,2033.8342885680647,23
Brazil,2018.5288223008504,24
Slovakia,2006.2547116136766,25
Hungary,1898.1693219065635,26
Finland,1876.282473642868,27
Iceland,1838.2212493826028,28
Israel,1787.522395077156,29
Sweden,1771.1407445985187,30
Czech Republic,1747.1873629604836,31
Indonesia,1725.4818292768578,32
India,1682.8762192146203,33
Mexico,1682.5952276606417,34
Bangladesh,1681.0846094857563,35
Armenia,1658.1132107065775,36
Turkey,1602.7932686870813,37
Latvia,1582.501709779204,38
Italy,1566.358818275077,39
South Africa,1563.9170293914708,40
Germany,1538.6738284972748,41
Cuba,1512.416563504137,42
Argentina,1395.9425574543288,43
United Kingdom,1384.7038712521198,44
Switzerland,1358.678717540115,45
Greece,1358.2513720468824,46
Estonia,1342.4347413115406,47
Syria,1341.9228708276019,48
Philippines,1332.9164933680556,49
Cyprus,1321.3007949217942,50
Macedonia,1311.520525620484,51
Tajikistan,1284.041829633018,52
Slovenia,1281.7690578540703,53
Belgium,1255.0507633017469,54
Denmark,1249.882513264078,55
Austria,1212.4090777890467,56
Moldova,1207.9482047299266,57
Malaysia,1180.7628723011358,58
Mongolia,1171.733464230453,59
Netherlands,1148.4105706128098,60
Morocco,1123.927434816184,61
Macau,1117.359692753561,62
Palestine,1097.6194684234058,63
El Salvador,1095.5952141177268,64
Bosnia and Herzegovina,1086.2979419978149,65
Turkmenistan,1080.459580760713,66
Ireland,1052.4392435717502,67
Lithuania,1051.5857338853698,68
Kyrgyzstan,1034.1509413656997,69
Norway,993.8028305617346,70
Portugal,982.7501151352849,71
Spain,951.215762649785,72
Jordan,933.638810650736,73
Colombia,860.9374930669246,74
Uzbekistan,858.5546356858993,75
Luxembourg,833.0220356109119,76
Tunisia,786.5071029889231,77
Azerbaijan,776.9417639841982,78
Montenegro,773.9346909228212,79
Chile,684.756291114653,80
Sri Lanka,616.3731553078592,81
Bolivia,606.893585101418,82
Venezuela,565.2536460424311,83
Nigeria,422.9033150787597,84
