Country,Rating,Rank
China,1715.9179519611373,1
Russia,1628.532257420176,2
United States of America,1582.955588816398,3
Taiwan,1550.67450913183,4
Croatia,1525.1551823964596,5
Poland,1503.7763599155533,6
Belarus,1485.2089650234718,7
Japan,1468.681494938316,8
Bulgaria,1453.7042449328105,9
Thailand,1439.9458885714714,10
Singapore,1427.171218381618,11
Iran,1415.2068649264145,12
Brazil,1403.9211103070386,13
Hong Kong,1393.211350856792,14
Vietnam,1382.995965382791,15
Kazakhstan,1373.208847255486,16
France,1363.7956139386022,17
Czech Republic,1354.7109097940324,18
Colombia,1345.916442804397,19
Republic of Korea,1337.379526782336,20
Turkey,1329.0719796505502,21
Romania,1320.9692775697918,22
Hungary,1313.0498961704056,23
Egypt,1305.29479078263,24
Slovakia,1297.6869813917476,25
Italy,1290.211217495707,26
Ukraine,1282.8537046167985,27
Switzerland,1275.6018788652618,28
Canada,1268.444219284465,29
Australia,1261.3700901280565,30
Germany,1254.369606999189,31
Indonesia,1247.4335221041117,32
Serbia,1240.553124863753,33
Lithuania,1233.7201548756766,34
Macedonia,1226.9267247875516,35
Estonia,1220.1652510765132,36
Finland,1213.428391058543,37
Spain,1206.7089847013667,38
Latvia,1200.0,39
India,1200.0,40
New Zealand,1186.5854961064804,41
Mexico,1179.8660897493044,42
Denmark,1173.129229731334,43
South Africa,1166.3677560202955,44
Sweden,1159.5743259321705,45
Israel,1152.741355944094,46
Armenia,1145.8609587037354,47
Austria,1138.924873808658,48
Belgium,1131.9243906797903,49
Netherlands,1124.8502615233824,50
Sri Lanka,1117.6926019425853,51
United Kingdom,1110.4407761910486,52
Georgia,1103.0832633121404,53
Greece,1095.6074994160995,54
Syria,1087.9996900252172,55
Bosnia and Herzegovina,1080.2445846374412,56
Luxembourg,1072.3252032380553,57
Norway,1064.2225011572968,58
Portugal,1055.9149540255112,59
Argentina,1047.3780380034502,60
Slovenia,1038.5835710138147,61
Bangladesh,1029.4988668692447,62
Mongolia,1020.0856335523608,63
Tajikistan,1010.298515425056,64
Macau,1000.083129951055,65
Azerbaijan,989.3733705008084,66
Turkmenistan,978.0876158814326,67
Moldova,966.1232624262292,68
Venezuela,953.3485922363759,69
Ireland,939.5902358750365,70
Ghana,924.612985869531,71
Montenegro,908.0855157843754,72
Kyrgyzstan,889.5181208922936,73
Cyprus,868.1392984113876,74
Albania,842.6199716760167,75
Kuwait,810.3388919914493,76
Nigeria,810.3388919914493,77
United Arab Emirates,677.3765288467093,78
