Country,Rating,Rank
China,59.259343421056016,1
Russia,54.75212476818867,2
United States of America,54.68149918670802,3
Iran,50.669378017293916,4
Poland,50.34046765871629,5
Japan,48.76782205307461,6
Republic of Korea,48.46436276475497,7
Vietnam,46.497176387962526,8
Romania,45.10062530172499,9
Taiwan,44.69614476400691,10
Singapore,43.26818525672432,11
Croatia,42.995795066562096,12
Ukraine,42.55004729524811,13
Belarus,42.10329095248114,14
Canada,40.7984079168318,15
Bulgaria,40.433047159362374,16
Australia,40.24858919585892,17
Indonesia,37.48435550861003,18
Hong Kong,37.369788784799724,19
Israel,36.709618136895365,20
France,36.649780987574836,21
Serbia,35.87925907208612,22
Slovakia,35.82140165239591,23
Thailand,35.307015676542726,24
Hungary,34.627750256115,25
Brazil,33.73334708470148,26
Kazakhstan,33.48810197166198,27
Georgia,33.46933096413127,28
Turkey,31.372943716790193,29
India,30.717043017521426,30
Czech Republic,29.837635089632858,31
Italy,29.761259211783333,32
Germany,28.260394716912472,33
Sweden,27.763968919926292,34
Macedonia,27.71033751793376,35
Latvia,27.30264128190202,36
Lithuania,26.285260196282096,37
Armenia,25.510466774236956,38
United Kingdom,25.497878876568283,39
Bangladesh,24.59757731374815,40
Finland,24.19591945305559,41
Egypt,24.02194579468947,42
Cuba,21.581666237495458,43
Estonia,20.90865216813562,44
Switzerland,20.56166143383257,45
Malaysia,20.551429561977226,46
Mexico,20.39380268253587,47
Netherlands,20.21083438637002,48
Slovenia,19.83160885552412,49
Syria,19.43285397916226,50
New Zealand,18.71928257187343,51
Denmark,18.1712780717639,52
South Africa,18.105740540822023,53
Kyrgyzstan,17.812803394326938,54
Belgium,17.65879178003426,55
Philippines,17.424942380257182,56
Peru,16.960961894064578,57
Mongolia,15.943925729702906,58
Greece,15.397286463260533,59
Austria,15.337542592116222,60
Argentina,15.126647840062647,61
Moldova,14.821820361351909,62
Spain,14.810455521303112,63
Tajikistan,12.976018234516417,64
Norway,12.968807753800991,65
Cyprus,12.95395085352016,66
Portugal,11.215783672425273,67
Bosnia and Herzegovina,10.642151065293358,68
Macau,10.075564293311183,69
Tunisia,9.932565551814127,70
Colombia,9.470417439623573,71
Jordan,9.235458219068782,72
Azerbaijan,9.202694167260038,73
Saudi Arabia,9.197601380263423,74
Iceland,8.959785011390263,75
Turkmenistan,7.460072847950817,76
Montenegro,6.497869534111038,77
Ireland,6.219765205226867,78
Chile,5.741017809776488,79
Morocco,4.228640628082893,80
Uzbekistan,4.1506604017213125,81
Luxembourg,4.054691314141582,82
Palestine,2.5585426459690144,83
El Salvador,1.7659210629188924,84
Sri Lanka,1.7651952638682258,85
Bolivia,1.6875218649395796,86
Venezuela,1.6382209660967342,87
Dominican Republic,1.5478402266037765,88
Nigeria,-2.419500273571489,89
Ecuador,-8.128057074034936,90
