Country,Rating,Rank,,,,
China,59.25934342,1,,,,23.49293909
Russia,54.75212477,2,,,,15.33158277
United States of America,54.68149919,3,,,,
Iran,50.66937802,4,,,,
Poland,50.34046766,5,,,,
Japan,48.76782205,6,,,,
Republic of Korea,48.46436276,7,,,,
Vietnam,46.49717639,8,,,,
Romania,45.1006253,9,,,,
Taiwan,44.69614476,10,,,,
Singapore,43.26818526,11,,,,
Croatia,42.99579507,12,,,,
Ukraine,42.5500473,13,,,,
Belarus,42.10329095,14,,,,
Canada,40.79840792,15,,,,
Bulgaria,40.43304716,16,,,,
Australia,40.2485892,17,,,,
Indonesia,37.48435551,18,,,,
Hong Kong,37.36978878,19,,,,
Israel,36.70961814,20,,,,
France,36.64978099,21,,,,
Serbia,35.87925907,22,,,,
Slovakia,35.82140165,23,,,,
Thailand,35.30701568,24,,,,
Hungary,34.62775026,25,,,,
Brazil,33.73334708,26,,,,
Kazakhstan,33.48810197,27,,,,
Georgia,33.46933096,28,,,,
Turkey,31.37294372,29,,,,
India,30.71704302,30,,,,
Czech Republic,29.83763509,31,,,,
Italy,29.76125921,32,,,,
Germany,28.26039472,33,,,,
Sweden,27.76396892,34,,,,
Macedonia,27.71033752,35,,,,
Latvia,27.30264128,36,,,,
Lithuania,26.2852602,37,,,,
Armenia,25.51046677,38,,,,
United Kingdom,25.49787888,39,,,,
Bangladesh,24.59757731,40,,,,
Finland,24.19591945,41,,,,
Egypt,24.02194579,42,0.034504377,,,
Cuba,21.58166624,43,,,,
Estonia,20.90865217,44,,,,
Switzerland,20.56166143,45,,,,
Malaysia,20.55142956,46,,,,
Mexico,20.39380268,47,,,,
Netherlands,20.21083439,48,,,,
Slovenia,19.83160886,49,,,,
Syria,19.43285398,50,,,,
New Zealand,18.71928257,51,,,,
Denmark,18.17127807,52,,,,
South Africa,18.10574054,53,,,,
Kyrgyzstan,17.81280339,54,,,,
Belgium,17.65879178,55,,,,
Philippines,17.42494238,56,,,,
Peru,16.96096189,57,,,,
Mongolia,15.94392573,58,,,,
Greece,15.39728646,59,,,,
Austria,15.33754259,60,,,,
Argentina,15.12664784,61,,,,
Moldova,14.82182036,62,,,,
Spain,14.81045552,63,,,,
Tajikistan,12.97601823,64,,,,
Norway,12.96880775,65,,,,
Cyprus,12.95395085,66,,,,
Portugal,11.21578367,67,,,,
Bosnia and Herzegovina,10.64215107,68,,,,
Macau,10.07556429,69,,,,
Tunisia,9.932565552,70,,,,
Colombia,9.47041744,71,,,,
Jordan,9.235458219,72,,,,
Azerbaijan,9.202694167,73,,,,
Saudi Arabia,9.19760138,74,,,,
Iceland,8.959785011,75,,,,
Turkmenistan,7.460072848,76,,,,
Montenegro,6.497869534,77,,,,
Ireland,6.219765205,78,,,,
Chile,5.74101781,79,,,,
Morocco,4.228640628,80,,,,
Uzbekistan,4.150660402,81,,,,
Luxembourg,4.054691314,82,,,,
Palestine,2.558542646,83,,,,
El Salvador,1.765921063,84,,,,
Sri Lanka,1.765195264,85,,,,
Bolivia,1.687521865,86,,,,
Venezuela,1.638220966,87,,,,
Dominican Republic,1.547840227,88,,,,
Nigeria,-2.419500274,89,,,,
Ecuador,-8.128057074,90,,,,
