Country,Rating,Rank
United States of America,1797.80874935217,1
Russia,1790.2320603619848,2
Japan,1782.650215116481,3
Czech Republic,1771.8537915955274,4
Lithuania,1770.6732497529222,5
Iran,1759.872996998014,6
Taiwan,1752.2696690605158,7
Belarus,1741.389153557742,8
Romania,1740.3113038906108,9
Croatia,1729.4260615196129,10
Germany,1721.7999845618856,11
Brazil,1714.1680387082097,12
Canada,1706.5301553501079,13
Thailand,1695.5169714741794,14
Turkey,1694.5994929359354,15
China,1683.5803502717022,16
Finland,1675.918070205571,17
Kazakhstan,1654.3952049359216,18
Slovakia,1653.6254347208917,19
Mexico,1652.8603122234094,20
Latvia,1652.099829569088,21
Estonia,1651.343978171387,22
Republic of Korea,1629.8137228024068,23
Australia,1622.1065427817252,24
Vietnam,1614.3927549293085,25
Colombia,1603.092376141327,26
Sweden,1602.5198804501986,27
Bulgaria,1591.2114434086513,28
Netherlands,1583.4708016688387,29
Serbia,1575.7233499405772,30
Singapore,1560.6024875579753,31
Hong Kong,1560.198255328329,32
Egypt,1559.7970014328168,33
Slovenia,1544.6652779650428,34
Poland,1533.1320464152157,35
India,1532.840970700814,36
Ukraine,1517.50753651063,37
Switzerland,1517.2817672606006,38
Denmark,1505.6852668076676,39
United Kingdom,1497.8680178705374,40
Israel,1490.0436541079323,41
Italy,1482.2121564975002,42
Hungary,1474.373507360871,43
France,1466.52769033963,44
Greece,1458.6746903714277,45
Bosnia and Herzegovina,1435.322451130064,46
Belgium,1435.1873297357613,47
South Africa,1435.0523195446074,48
Macedonia,1434.9174062026705,49
Indonesia,1434.782574372943,50
Mongolia,1411.4078031774368,51
Armenia,1403.5041761950108,52
Spain,1395.5932899127297,53
Moldova,1383.8970216821206,54
Austria,1383.525083287755,55
Sri Lanka,1371.8171715166227,56
Luxembourg,1360.1451702037143,57
New Zealand,1359.65958331011,58
Syria,1347.9756179461506,59
Bangladesh,1340.0138470830104,60
Argentina,1332.0448099811563,61
Portugal,1324.068510114692,62
Georgia,1316.0849518540626,63
Azerbaijan,1308.0941404458497,64
Macau,1300.0960819927923,65
Kyrgyzstan,1292.0907834340499,66
Tajikistan,1284.0782525256989,67
Norway,1276.0584978214715,68
Ireland,1268.031528653729,69
Cyprus,1252.9803475888207,70
Montenegro,1251.9542525990134,71
Turkmenistan,1250.9230053664724,72
Albania,1235.8522663808787,73
Kuwait,1224.3430691235337,74
Venezuela,1223.1652660915572,75
United Arab Emirates,1204.8414094194552,76
Nigeria,1203.557934418585,77
Ghana,1202.2677739035805,78
