Country,Rating,Rank
United States of America,3272.787337714101,1
Russia,3088.937348755099,2
Iran,2872.325493335644,3
Japan,2845.736070623541,4
China,2719.9458983720956,5
Taiwan,2696.1912894379475,6
Romania,2652.9241500790577,7
Singapore,2613.2307398376165,8
Sweden,2437.658208000349,9
Republic of Korea,2410.165157393611,10
Australia,2391.2199519554943,11
Lithuania,2367.7081813639193,12
Poland,2316.4297036613834,13
Bulgaria,2291.648870061575,14
Croatia,2275.57283261218,15
Slovakia,2265.788126154468,16
Czech Republic,2252.239961663966,17
Belarus,2230.120584239475,18
Canada,2099.3561543990627,19
Estonia,2094.263216857089,20
Thailand,2090.148091229167,21
Vietnam,2061.312577688339,22
Latvia,1989.1342839500223,23
Brazil,1987.6893075237542,24
Kazakhstan,1937.4822123891095,25
Hong Kong,1927.3793919616874,26
Serbia,1902.0903916721197,27
United Kingdom,1823.9599768219252,28
Finland,1789.8539053580969,29
Mexico,1750.782307055136,30
Germany,1687.2941369690263,31
Hungary,1658.2083561518511,32
France,1617.2140158519728,33
Italy,1531.4902722896195,34
South Africa,1431.9599348147751,35
Israel,1429.1812109972682,36
Malaysia,1368.869675923939,37
Netherlands,1347.778767367954,38
Switzerland,1339.3475004187571,39
Indonesia,1324.6310456769882,40
Belgium,1315.0406691400437,41
India,1204.0943217854228,42
Colombia,1144.8273084230846,43
Armenia,1085.8914920610587,44
Philippines,990.7471119592271,45
Slovenia,958.5225669610164,46
Egypt,946.2280491407341,47
New Zealand,931.4136448619029,48
Syria,930.1279807945796,49
Greece,879.620574586184,50
Moldova,825.1603352804199,51
Macedonia,795.1623744296643,52
Dominican Republic,758.9204792070925,53
Uzbekistan,684.769591336224,54
Spain,677.2157379751526,55
Georgia,663.7366985060172,56
Denmark,609.3528777916238,57
Portugal,559.4902741224311,58
Cuba,558.458674379418,59
Bangladesh,507.262645930255,60
Austria,461.12337375132654,61
Chile,417.39020507998714,62
Bosnia and Herzegovina,405.56914906420167,63
Tajikistan,395.35518998826876,64
Mongolia,375.62330433270887,65
Macau,308.3826890901417,66
Luxembourg,280.56596996108686,67
Argentina,269.5911416151122,68
Jordan,261.1327073799673,69
Norway,220.10677301729362,70
Bolivia,181.98142116256145,71
Sri Lanka,174.60057791325437,72
Tunisia,148.5353514605048,73
Kyrgyzstan,102.65794806616606,74
Cyprus,85.33754248023502,75
Ireland,73.80773463160301,76
Azerbaijan,40.55443949707757,77
Montenegro,11.183580578531078,78
Turkmenistan,-20.029070942537146,79
Venezuela,-235.3707889020987,80
Nigeria,-516.1277081156645,81
