Country,Rating,Rank
United States of America,44.130877279620755,1
Japan,42.00941353817476,2
Russia,41.85191045980858,3
China,40.159573665249496,4
Taiwan,39.63229483002845,5
Iran,37.793519053792934,6
Romania,37.29814097053611,7
Singapore,35.17451256442998,8
Belarus,34.97941780580912,9
Republic of Korea,34.72774768033352,10
United Kingdom,34.46535278566763,11
Slovakia,34.0347055941223,12
Bulgaria,33.345167348627086,13
Australia,33.244460480512004,14
Poland,33.11139663669551,15
Sweden,32.713389490398136,16
Lithuania,32.69550497935605,17
Italy,32.059847746769435,18
Vietnam,31.924312696525828,19
Thailand,31.89135428059633,20
Croatia,30.615737948769528,21
Czech Republic,30.595694833158255,22
Canada,30.58997522427058,23
Hong Kong,29.8063148450378,24
Latvia,29.772183709901853,25
Ukraine,29.674241150226205,26
Kazakhstan,29.666204584770576,27
Brazil,29.165096182783117,28
Indonesia,29.09613066749532,29
Serbia,28.00955548929917,30
France,27.990922711049134,31
Hungary,27.778243217788642,32
Israel,27.474839574699786,33
Mexico,27.21602517031329,34
South Africa,27.174662687687317,35
Finland,27.06945605271319,36
India,26.99334491697228,37
Estonia,26.881465696447716,38
Germany,25.940135534838273,39
Turkey,25.52869483014511,40
Belgium,25.303092424898455,41
Switzerland,24.88762852644783,42
Netherlands,23.56951765755988,43
Malaysia,23.274336049953195,44
Armenia,23.261795909121492,45
Colombia,23.02051739526982,46
Macedonia,22.925067159976727,47
Georgia,22.61240893884007,48
Slovenia,22.12843344577859,49
Greece,21.768215394982672,50
Moldova,21.38210059993947,51
Portugal,21.241606388778536,52
Syria,21.081078884192134,53
Bangladesh,20.515069321112392,54
Spain,20.329322623562334,55
Philippines,19.601081412213514,56
El Salvador,19.44708084519266,57
Austria,19.124427485112466,58
Denmark,19.03803947774246,59
Iceland,18.644509810874304,60
Macau,18.30349686925346,61
Mongolia,18.02402371555978,62
Bosnia and Herzegovina,18.019359537741995,63
Tajikistan,17.97971616492936,64
Argentina,17.721935203723458,65
Cyprus,17.61597015930268,66
Norway,17.508722998765524,67
Luxembourg,16.63134528373121,68
Chile,16.473294905330132,69
Cuba,16.157659282564666,70
Kyrgyzstan,16.043490980751024,71
Ireland,15.957390505964739,72
Morocco,15.827649375697723,73
Uzbekistan,15.45769447272626,74
Azerbaijan,15.197877444248597,75
Turkmenistan,15.195873152246353,76
Sri Lanka,14.810223953839778,77
Tunisia,14.422142867542242,78
Montenegro,13.779392576071967,79
Bolivia,13.274080180700933,80
Jordan,12.781559331308372,81
Palestine,12.01482785520615,82
Venezuela,10.840260556923864,83
Nigeria,8.039108922016247,84
