Country,Rating,Rank,,,,
United States of America,46.8279555,1,,,,23.87939209
China,45.82542156,2,,,,10.171278
Russia,45.03433404,3,,,,
Japan,42.42894103,4,,,,
Taiwan,40.54155712,5,,,,
Romania,40.44116553,6,,,,
Republic of Korea,39.8183996,7,,,,
Singapore,37.87174338,8,,,,
Poland,37.04125311,9,,,,
Iran,36.70577717,10,,,,
Bulgaria,36.1339654,11,,,,
Croatia,35.60827394,12,,,,
Belarus,35.38803549,13,,,,
Australia,35.22858094,14,,,,
Ukraine,35.14970562,15,,,,
Slovakia,35.03125631,16,,,,
Canada,34.6554616,17,,,,
Italy,33.82531866,18,,,,
Vietnam,33.80991756,19,,,,
Sweden,33.74519209,20,,,,
United Kingdom,33.29023207,21,,,,
Israel,32.71323853,22,,,,
Hong Kong,32.44624639,23,,,,
Lithuania,31.12474037,24,,,,
Indonesia,31.04646889,25,,,,
Czech Republic,30.54832959,26,,,,
Thailand,29.50641672,27,,,,
Turkey,29.27404133,28,,,,
Hungary,28.82396028,29,,,,
Brazil,28.28005984,30,,,,
Kazakhstan,28.16149627,31,,,,
Philippines,27.93739119,32,,,,
France,27.7474196,33,,,,
Serbia,26.68745833,34,,,,
Latvia,26.53791253,35,,,,
India,26.31385118,36,,,,
Georgia,25.94552394,37,,,,
Malaysia,25.84206316,38,,,,
Mexico,25.81458235,39,,,,
Germany,25.36970198,40,,,,
Macedonia,25.14862052,41,,,,
Bangladesh,25.12540749,42,,,,
Estonia,24.82111067,43,,,,
South Africa,24.41611618,44,,,,
Netherlands,23.81285884,45,,,,
Finland,23.50233716,46,,,,
Switzerland,23.09556817,47,,,,
Slovenia,22.56137985,48,,,,
Armenia,22.36599236,49,,,,
Moldova,22.31996478,50,,,,
Belgium,21.6599652,51,,,,
Egypt,20.80151775,52,-0.302604485,,,
Spain,19.93739046,53,,,,
Syria,19.93613477,54,,,,
Portugal,19.79983487,55,,,,
Greece,19.62616212,56,,,,
New Zealand,19.07387404,57,,,,
Cyprus,18.80404691,58,,,,
Chile,18.462844,59,,,,
Mongolia,18.18705595,60,,,,
Macau,17.89572315,61,,,,
Argentina,17.39893376,62,,,,
Cuba,17.16520548,63,,,,
Denmark,17.11606373,64,,,,
Austria,16.99155397,65,,,,
Colombia,16.96047494,66,,,,
Norway,16.6020234,67,,,,
Bosnia and Herzegovina,15.96093281,68,,,,
Jordan,15.25010283,69,,,,
Saudi Arabia,15.0269348,70,,,,
Turkmenistan,14.62182159,71,,,,
Kyrgyzstan,14.61468971,72,,,,
Azerbaijan,14.45179201,73,,,,
Ireland,14.30943323,74,,,,
Tajikistan,14.07708708,75,,,,
Montenegro,13.54794584,76,,,,
Tunisia,13.13637358,77,,,,
Luxembourg,12.80766917,78,,,,
Iceland,12.48966945,79,,,,
Sri Lanka,11.0427614,80,,,,
Uzbekistan,10.69300757,81,,,,
Peru,10.52246079,82,,,,
Bolivia,9.706404623,83,,,,
Morocco,8.103293046,84,,,,
El Salvador,8.080716381,85,,,,
Venezuela,7.425175952,86,,,,
Ecuador,6.967371172,87,,,,
Dominican Republic,6.195155568,88,,,,
Palestine,6.128657873,89,,,,
Nigeria,5.874280625,90,,,,
