Country,Rating,Rank
United States of America,1951.5913705571602,1
China,1934.0137453589325,2
Russia,1909.5782102521816,3
Japan,1902.291274467616,4
Republic of Korea,1899.6336742932954,5
Singapore,1883.7336566099495,6
Poland,1875.4786016209898,7
Iran,1851.1220416391675,8
Bulgaria,1822.6351245794767,9
Croatia,1808.2511962235578,10
Taiwan,1803.52916263809,11
Romania,1785.8900074056542,12
Australia,1736.2364105045517,13
Hungary,1735.6720759670159,14
Slovakia,1733.3635375771084,15
Czech Republic,1733.0036536844113,16
Sweden,1729.609067678226,17
Belarus,1726.9572288928407,18
Vietnam,1721.2335451552092,19
Italy,1720.9044644595099,20
Israel,1720.5221042856122,21
Canada,1711.9922270352067,22
France,1699.6042146766454,23
United Kingdom,1699.0232781361744,24
Estonia,1684.2936169459197,25
Serbia,1661.9801701076433,26
Kazakhstan,1660.362067034455,27
Hong Kong,1649.1055198945483,28
Mexico,1622.053652285882,29
Lithuania,1621.8476492655566,30
Indonesia,1600.7554999158885,31
Thailand,1592.6982073233062,32
Brazil,1592.412737694529,33
Latvia,1572.9112366671814,34
Switzerland,1571.0159430598876,35
Finland,1552.0947601603038,36
Germany,1533.5612210940346,37
India,1517.8898756083286,38
South Africa,1510.8710497519494,39
Georgia,1503.4606999142125,40
Netherlands,1500.4375503753972,41
Armenia,1463.7247523567348,42
New Zealand,1462.4518970646018,43
Malaysia,1460.9899703908638,44
Philippines,1450.6016725025538,45
Egypt,1443.5638739567946,46
Macedonia,1441.6967583750734,47
Greece,1431.5163081106573,48
Bangladesh,1418.1525188744831,49
Belgium,1417.2191542175797,50
Moldova,1397.0638328677587,51
Argentina,1386.3182867914797,52
Denmark,1384.2472200592533,53
Spain,1383.295011497092,54
Syria,1381.6791798460813,55
Austria,1374.5404160284065,56
Slovenia,1372.4276669688593,57
Uzbekistan,1369.035166346186,58
Dominican Republic,1364.9895071181888,59
Jordan,1356.807518525395,60
Portugal,1351.1750861096355,61
Macau,1351.1497965779408,62
Cuba,1322.6960383833882,63
Colombia,1316.9022083194793,64
Norway,1312.7468611279005,65
Cyprus,1297.2347800324237,66
Kyrgyzstan,1285.607446872735,67
Bosnia and Herzegovina,1273.5565661778296,68
Tunisia,1261.363222011421,69
Tajikistan,1232.590080287061,70
Luxembourg,1207.941181063136,71
Bolivia,1196.146150353021,72
Chile,1194.3662756715148,73
Sri Lanka,1191.63448369231,74
Mongolia,1189.3104724046746,75
Azerbaijan,1184.7819483050032,76
Ireland,1175.414769672906,77
Turkmenistan,1164.9431780287557,78
Montenegro,1163.2654800128812,79
Venezuela,1150.197625255773,80
Nigeria,1041.3001362020616,81
