Country,Rating,Rank
United States of America,2532.214771775851,1
Croatia,2429.5604062603043,2
Poland,2366.3894479895334,3
Japan,2365.222460313866,4
Russia,2317.098630680373,5
Taiwan,2190.6570332047563,6
Romania,2158.557168946203,7
China,2141.084453822522,8
Republic of Korea,2081.4617651623803,9
Belarus,2045.914272829248,10
Singapore,2037.5975076825446,11
Vietnam,2030.102335109251,12
Brazil,1982.633978142417,13
Israel,1933.3839000952403,14
Bulgaria,1901.9082706175925,15
Ukraine,1842.4786374709129,16
Iran,1800.2369185381876,17
Australia,1728.6488367448105,18
Sweden,1711.0032779799021,19
Slovakia,1646.8978060501747,20
United Kingdom,1643.4229066632083,21
Czech Republic,1624.413404153031,22
Italy,1572.8173536163108,23
Hungary,1560.4564945960865,24
Hong Kong,1553.4194472499862,25
Lithuania,1533.6883399196408,26
Canada,1478.2807671307064,27
Germany,1473.3916704474561,28
France,1460.7561476161432,29
Thailand,1431.526971799801,30
Mexico,1420.2995596348073,31
Indonesia,1398.482073047452,32
Estonia,1394.0057345713508,33
Kazakhstan,1363.5626831081147,34
Turkey,1351.4390249018154,35
Netherlands,1332.5746767353992,36
Serbia,1270.0818900113295,37
Egypt,1221.1851142273529,38
Switzerland,1207.6966829619796,39
Armenia,1194.4397335659562,40
Malaysia,1188.8477880665573,41
Macedonia,1181.4354480214208,42
Argentina,1159.062034197461,43
Finland,1144.0803430567114,44
South Africa,1127.3426434733979,45
Latvia,1115.6971106932965,46
Spain,1102.5365454490586,47
Georgia,1099.8580064042887,48
India,1089.0191284353143,49
Denmark,1069.5370999979064,50
Austria,1063.072522352159,51
New Zealand,1052.635267597757,52
Belgium,1032.1161344316847,53
Colombia,982.7592211865566,54
Slovenia,955.0468455274492,55
Greece,938.2076728640026,56
Portugal,933.8469958311289,57
Trinidad and Tobago,890.016136978669,58
Bosnia and Herzegovina,888.2269966560872,59
Tunisia,873.5230461948245,60
Bangladesh,853.3912907567205,61
Sri Lanka,809.7994536085313,62
Norway,774.027863959872,63
Bolivia,684.9968519163255,64
Luxembourg,684.0196669321314,65
Kyrgyzstan,672.5812323608915,66
Azerbaijan,664.2161758798703,67
Mongolia,628.9441814604354,68
Chile,604.4700163414834,69
Turkmenistan,572.995670906824,70
Cyprus,554.7844807739804,71
Libya,540.5988943740587,72
Macau,535.1749654795943,73
Venezuela,519.6344998728879,74
Tajikistan,499.6004237498897,75
Ireland,468.1167341570533,76
Montenegro,325.4992244451888,77
Kuwait,255.79628560402355,78
Nigeria,198.67177698032538,79
