Country,Rating,Rank
China,46.25072000873277,1
United States of America,44.9059920453659,2
Republic of Korea,42.82744097916398,3
Russia,42.75195875875877,4
Japan,42.68804004829828,5
Iran,40.5443033820791,6
Singapore,38.01375665434945,7
Poland,37.99984233649661,8
Taiwan,37.81858545890497,9
Canada,37.6415428075638,10
Croatia,37.617926373349,11
Romania,37.31960719027518,12
Czech Republic,36.16007475493285,13
Bulgaria,35.948679429031586,14
Vietnam,35.874081190295044,15
Hungary,35.55422740690317,16
Hong Kong,34.856249871586776,17
Israel,34.66210054229004,18
Sweden,34.247027894376465,19
United Kingdom,33.22794449566378,20
Slovakia,32.903914181074725,21
Ukraine,32.01518863935735,22
Italy,31.94173801040468,23
India,31.858854733446645,24
Indonesia,31.44901914230464,25
Australia,31.192550544056875,26
Kazakhstan,30.377272524607772,27
Belarus,30.036121380317752,28
Lithuania,29.598736419429446,29
Serbia,28.575086755991318,30
Netherlands,28.011362057764337,31
Switzerland,27.837035092865186,32
Thailand,27.617469464993352,33
Turkey,27.541773188187204,34
Latvia,27.326812301795368,35
Philippines,26.975804800564934,36
Finland,26.816892113833035,37
Estonia,26.773808753472306,38
Armenia,26.678523423567974,39
Georgia,26.535432377368522,40
France,26.492650797415962,41
Germany,26.25182318137446,42
Brazil,24.815096573804205,43
Egypt,23.802284284410483,44
South Africa,23.24402969645004,45
New Zealand,23.145040192925414,46
Singapore 2,23.13562046633411,47
Mexico,22.75481135074388,48
Bangladesh,22.390853708353024,49
Macedonia,22.08289845850437,50
Greece,22.04175537945764,51
Kyrgyzstan,20.789019597144826,52
Slovenia,20.636238627977978,53
Malaysia,20.409892297326863,54
Spain,20.312936751806454,55
Moldova,19.467968378808994,56
Cyprus,19.35887565939399,57
Denmark,19.065831712717962,58
Syria,18.599514082988073,59
Austria,18.505677700944965,60
Portugal,18.408107228153472,61
Norway,18.375230232930914,62
Argentina,18.272902996193345,63
Azerbaijan,17.938054041067147,64
Cuba,17.86326893984493,65
Belgium,16.938270714921323,66
Morocco,16.817653781751623,67
Mongolia,15.866571723307196,68
Bosnia and Herzegovina,15.813390595232562,69
Macau,14.655410835784787,70
Colombia,13.233531885147496,71
Tajikistan,12.951936254052569,72
Saudi Arabia,12.036377056040294,73
Jordan,11.766253156970158,74
Ireland,11.449597225392328,75
Montenegro,11.422297737772261,76
Tunisia,10.425187051536177,77
Chile,9.85837421195344,78
Sri Lanka,7.718660419410071,79
Luxembourg,7.397849725713248,80
Turkmenistan,6.856422123650286,81
Bolivia,6.382609107908407,82
Iceland,6.344089306583986,83
Palestine,5.540038448986955,84
Venezuela,4.732967848881631,85
Uzbekistan,4.6551443821197465,86
Nigeria,1.5871895109278251,87
Dominican Republic,0.7529252638601859,88
El Salvador,0.5588561902764412,89
