Country,Rating,Rank
China,3521.558414404398,1
United States of America,3504.6804088914782,2
Russia,3421.301566599771,3
Japan,3255.922065027756,4
Republic of Korea,3236.470720877732,5
Iran,3160.2126597541173,6
Taiwan,3023.0797376339874,7
Canada,2918.3956535068555,8
Vietnam,2849.8160938419205,9
Romania,2817.436009999773,10
Ukraine,2735.2549218785025,11
Australia,2728.6981796875675,12
France,2715.0502498103756,13
Bulgaria,2700.743663754933,14
Singapore,2674.593014638228,15
Belarus,2643.714482731552,16
Poland,2598.4707235956093,17
Indonesia,2560.998974583837,18
Israel,2516.3950953320614,19
Croatia,2430.9399432985856,20
Kazakhstan,2396.38345889938,21
Slovakia,2372.872760665143,22
Hong Kong,2358.37334372684,23
Georgia,2346.7443257528134,24
Thailand,2310.909903037839,25
Italy,2274.9038455088444,26
Serbia,2231.489602508724,27
Sweden,2210.397574636748,28
Hungary,2156.3515259663204,29
Lithuania,2139.478201661626,30
Czech Republic,2064.988570493768,31
Turkey,2005.7017299249262,32
Germany,1875.5175165885294,33
Estonia,1859.3610075671834,34
Latvia,1838.7129390789632,35
Bangladesh,1772.316924803796,36
United Kingdom,1716.4554249014302,37
Macedonia,1672.9315669208236,38
Moldova,1627.2273850641227,39
India,1582.9871213584104,40
Syria,1545.126106249228,41
Brazil,1527.613186216026,42
Finland,1472.9108466480382,43
Mexico,1458.7497391700376,44
Greece,1455.4615448662616,45
Jordan,1439.7821313468214,46
Philippines,1420.0831982272873,47
South Africa,1369.226736822734,48
Egypt,1309.8444388698072,49
Kyrgyzstan,1296.0420086874958,50
Switzerland,1266.8839784901072,51
Argentina,1233.3870968344343,52
Malaysia,1197.6073196822506,53
Slovenia,1195.2794302064162,54
Cuba,1178.3483329854143,55
Belgium,1133.1778094299368,56
Portugal,1122.5408494190715,57
Netherlands,1082.634886647029,58
Mongolia,1036.1130079928848,59
Cyprus,1025.8410530267631,60
Saudi Arabia,997.4317728507452,61
Norway,928.9713213946915,62
New Zealand,915.8406085017,63
Chile,900.8180412478903,64
Denmark,787.6165377078813,65
Macau,760.1392491990014,66
Spain,746.7547438418738,67
Austria,707.6303790140787,68
Ireland,695.2454369102576,69
Turkmenistan,642.968294186121,70
Azerbaijan,624.1691357173618,71
Bosnia and Herzegovina,586.5036245928007,72
Tunisia,533.7184977482932,73
Tajikistan,532.0023044266009,74
Iceland,517.6013230084255,75
Colombia,461.64613199119754,76
Montenegro,408.43129898420284,77
Uzbekistan,379.2848130486248,78
Morocco,291.1502415449497,79
El Salvador,185.85531758368955,80
Dominican Republic,166.77173545926493,81
Luxembourg,132.8690037142935,82
Palestine,73.76180277556108,83
Sri Lanka,-5.012567339066891,84
Bolivia,-65.41904460562637,85
Venezuela,-378.62665368175453,86
Nigeria,-453.84159025717895,87
