Country,Rating,Rank,Z-score,Percentile,,mean,,stdev
China,3833.574391,1,2.107855243,0.982478244,,1558.933647,,1079.12569
United States of America,3767.207817,2,2.046354924,0.979639268,,1558.933647,,1079.12569
Russia,3600.002452,3,1.891409707,0.970715163,,1558.933647,,1079.12569
Japan,3507.879314,4,1.806041395,0.964544063,,1558.933647,,1079.12569
Republic of Korea,3471.548482,5,1.772374481,0.961833793,,1558.933647,,1079.12569
Iran,3355.295524,6,1.664645642,0.952008263,,1558.933647,,1079.12569
Canada,3263.665194,7,1.579734004,0.942916103,,1558.933647,,1079.12569
Taiwan,3208.742201,8,1.528838178,0.936847717,,1558.933647,,1079.12569
Ukraine,3080.354367,9,1.409864239,0.920710113,,1558.933647,,1079.12569
Singapore,3051.857563,10,1.383456932,0.916737598,,1558.933647,,1079.12569
Romania,2995.452465,11,1.331187675,0.908436367,,1558.933647,,1079.12569
Croatia,2973.993458,12,1.311302126,0.905122145,,1558.933647,,1079.12569
Vietnam,2929.979973,13,1.27051588,0.898049535,,1558.933647,,1079.12569
Poland,2913.447556,14,1.255195684,0.895296134,,1558.933647,,1079.12569
Bulgaria,2744.545118,15,1.09867783,0.864045692,,1558.933647,,1079.12569
Israel,2742.695221,16,1.096963574,0.863671342,,1558.933647,,1079.12569
Indonesia,2724.07548,17,1.079709105,0.859864131,,1558.933647,,1079.12569
Hong Kong,2556.911326,18,0.924802077,0.822465565,,1558.933647,,1079.12569
Australia,2502.068978,19,0.873980983,0.808935695,,1558.933647,,1079.12569
Belarus,2486.032844,20,0.85912068,0.804863031,,1558.933647,,1079.12569
India,2392.714939,21,0.772645207,0.780133809,,1558.933647,,1079.12569
Kazakhstan,2346.169975,22,0.729513101,0.767156071,,1558.933647,,1079.12569
Turkey,2308.819269,23,0.694901093,0.756441356,,1558.933647,,1079.12569
Brazil,2289.112858,24,0.676639633,0.750682687,,1558.933647,,1079.12569
Italy,2269.398557,25,0.658370861,0.744850073,,1558.933647,,1079.12569
Slovakia,2249.621679,26,0.640044101,0.738928036,,1558.933647,,1079.12569
Serbia,2218.637407,27,0.611331716,0.729510001,,1558.933647,,1079.12569
Bangladesh,2176.103944,28,0.571916972,0.716310887,,1558.933647,,1079.12569
Hungary,2042.134856,29,0.447771018,0.672840769,,1558.933647,,1079.12569
Georgia,2013.829306,30,0.421540941,0.663319939,,1558.933647,,1079.12569
France,1948.999772,31,0.361464961,0.641124053,,1558.933647,,1079.12569
