Country,Rating,Rank
China,1715.9179519611373,1
Russia,1628.532257420176,2
United States of America,1582.955588816398,3
Taiwan,1550.67450913183,4
Croatia,1525.1551823964596,5
Japan,1503.7763599155533,6
Belarus,1485.2089650234718,7
Poland,1468.681494938316,8
Bulgaria,1453.7042449328105,9
Thailand,1439.9458885714714,10
Brazil,1427.171218381618,11
Singapore,1415.2068649264145,12
Iran,1403.9211103070386,13
Vietnam,1393.211350856792,14
Romania,1382.995965382791,15
Czech Republic,1373.208847255486,16
Republic of Korea,1363.7956139386022,17
Turkey,1354.7109097940324,18
Hong Kong,1354.7109097940324,19
Kazakhstan,1337.379526782336,20
Ukraine,1329.0719796505502,21
Slovakia,1320.9692775697918,22
Egypt,1313.0498961704056,23
France,1305.29479078263,24
Hungary,1297.6869813917476,25
Canada,1290.211217495707,26
Australia,1282.8537046167985,27
Germany,1275.6018788652618,28
Lithuania,1268.444219284465,29
Colombia,1261.3700901280565,30
Switzerland,1254.369606999189,31
Italy,1247.4335221041117,32
Serbia,1247.4335221041117,33
Indonesia,1233.7201548756766,34
Mexico,1226.9267247875516,35
Israel,1220.1652510765132,36
Sweden,1213.428391058543,37
Macedonia,1206.7089847013667,38
India,1200.0,39
Spain,1193.294480807847,40
Latvia,1186.5854961064804,41
Finland,1179.8660897493044,42
Estonia,1173.129229731334,43
Armenia,1166.3677560202955,44
Denmark,1159.5743259321705,45
New Zealand,1152.741355944094,46
South Africa,1145.8609587037354,47
Netherlands,1138.924873808658,48
Austria,1131.9243906797903,49
United Kingdom,1124.8502615233824,50
Georgia,1117.6926019425853,51
Belgium,1110.4407761910486,52
Syria,1103.0832633121404,53
Sri Lanka,1095.6074994160995,54
Bosnia and Herzegovina,1087.9996900252172,55
Greece,1080.2445846374412,56
Slovenia,1072.3252032380553,57
Portugal,1064.2225011572968,58
Mongolia,1055.9149540255112,59
Argentina,1047.3780380034502,60
Luxembourg,1038.5835710138147,61
Bangladesh,1029.4988668692447,62
Norway,1020.0856335523608,63
Azerbaijan,1010.298515425056,64
Tajikistan,1010.298515425056,65
Moldova,989.3733705008084,66
Macau,978.0876158814326,67
Kyrgyzstan,966.1232624262292,68
Turkmenistan,953.3485922363759,69
Ireland,939.5902358750365,70
Montenegro,924.612985869531,71
Venezuela,908.0855157843754,72
Cyprus,889.5181208922936,73
Albania,868.1392984113876,74
Ghana,842.6199716760167,75
Kuwait,810.3388919914493,76
Nigeria,764.7622233876713,77
United Arab Emirates,677.3765288467093,78
