Country,Rating,Rank
China,67.28549204952,1
United States of America,63.15285747376053,2
Russia,61.14829919429511,3
Japan,57.287569504173824,4
Republic of Korea,56.62214860700552,5
Iran,55.837342266020144,6
Taiwan,52.315140206823536,7
Poland,50.71448170467312,8
Romania,50.43854841689394,9
Singapore,49.19613436054911,10
Vietnam,48.91962892537079,11
Canada,47.48798787221139,12
Bulgaria,47.15865820027058,13
Croatia,46.059520253380114,14
Ukraine,45.976637122597154,15
Australia,45.21766554981184,16
Belarus,44.753801386825465,17
Indonesia,40.99851486816104,18
Hong Kong,40.61748423676963,19
Israel,40.36864769665302,20
Slovakia,40.23108048535682,21
Kazakhstan,38.79058012743093,22
Serbia,37.98062462258407,23
Thailand,37.55169806009305,24
Italy,36.16290548066221,25
Turkey,36.03889011585542,26
Georgia,34.92994867020892,27
Hungary,34.75184398274479,28
France,34.52889605340032,29
Sweden,34.13794234930257,30
Czech Republic,33.339904738530464,31
Brazil,32.365409749466274,32
India,32.10167566180149,33
Lithuania,29.402608513341566,34
United Kingdom,28.970150488993927,35
Latvia,28.82842788464255,36
Germany,28.332648465171587,37
Finland,26.598874478686586,38
Bangladesh,25.284254210645116,39
Armenia,24.15141683394247,40
Estonia,22.930234528814722,41
Macedonia,22.611986059142637,42
Mexico,21.668490412812773,43
Malaysia,20.548646913290696,44
Philippines,20.116056026469444,45
Switzerland,20.089051242348123,46
Egypt,20.08017062936292,47
Syria,19.192052270438126,48
Slovenia,17.756992579269212,49
South Africa,17.25224486120008,50
Moldova,17.073239373560526,51
Netherlands,16.984292532603092,52
New Zealand,16.106709279348152,53
Greece,14.673319441460038,54
Cuba,14.516776270383966,55
Belgium,13.603692303461482,56
Spain,12.208578985494546,57
Austria,12.20194626050108,58
Denmark,11.7502657494095,59
Kyrgyzstan,11.680126476165634,60
Mongolia,10.746430834601782,61
Cyprus,9.86161565334623,62
Norway,9.186372720661458,63
Tajikistan,8.566482362118924,64
Portugal,8.36792771578381,65
Macau,7.813690622193824,66
Argentina,6.861977102360636,67
Saudi Arabia,5.460381220362677,68
Bosnia and Herzegovina,5.2804305919438645,69
Peru,4.95524884153349,70
Turkmenistan,4.848910366163464,71
Azerbaijan,4.0836205642160515,72
Ireland,2.4209272778706237,73
Montenegro,2.2325519220550465,74
Jordan,1.4953816130593562,75
Iceland,1.462320192614461,76
Tunisia,1.2440271098911158,77
Colombia,1.0228536382419513,78
Chile,0.12627853485108873,79
Morocco,-1.4395821581920383,80
Luxembourg,-1.8797835782318661,81
Uzbekistan,-3.798687441530007,82
Sri Lanka,-5.030741728738911,83
Palestine,-5.527574496678605,84
Bolivia,-6.681267668118126,85
El Salvador,-7.298433465029028,86
Dominican Republic,-7.817011843121639,87
Venezuela,-9.604998006366769,88
Ecuador,-10.445872789168945,89
Nigeria,-15.14649832179691,90
