K,ACC
1.0,80.67576564957577
1.1,80.7194670789678
1.2,80.74834643423905
1.3,80.77971578802264
1.4,80.81580781878571
1.5,80.87847129311056
1.6,80.9044558261822
1.7,80.92805552382077
1.8,80.9548153748268
1.9,80.98461404138303
2.0,81.00222400735422
2.1,81.0074947463807
2.2,81.02531385781845
2.3,81.06849865444319
2.4,81.07945096242644
2.5,81.10124239952319
2.6,81.11199918050839
2.7,81.13512938962143
2.8,81.1652040371549
2.9,81.16805903835372
3.0,81.18286090439346
3.1,81.22956236838777
3.2,81.23792755476376
3.3,81.26068414576547
3.4,81.27639277499665
3.5,81.30450159070209
3.6,81.31970294005215
3.7,81.3336614181038
3.8,81.34849700165304
3.9,81.34082369046429
4.0,81.36082071216471
4.1,81.38015682330216
4.2,81.39664421053894
4.3,81.4205167052416
4.4,81.42544941374759
4.5,81.42063206545441
4.6,81.44356713012755
4.7,81.44900383715996
4.8,81.46005499628721
4.9,81.48234409905358
5.0,81.49926594171987
5.1,81.50708389820286
5.2,81.49575261343776
5.3,81.49330982210368
5.4,81.49418632668868
5.5,81.50655608029098
5.6,81.50304796574208
5.7,81.5158436092894
5.8,81.51415701195499
5.9,81.53504982311793
6.0,81.54229166009215
6.1,81.56107136978223
6.2,81.57898040446669
6.3,81.58888886377946
6.4,81.60296470904849
6.5,81.63262985060534
6.6,81.6510228219495
6.7,81.66599603215447
6.8,81.67818742425538
6.9,81.68039049321406
7.0,81.68150020483755
7.1,81.69978674097862
7.2,81.6975168510683
7.3,81.70700455791456
7.4,81.73447706031611
7.5,81.73394594340938
7.6,81.73757641146356
7.7,81.74580252917646
7.8,81.74563194126101
7.9,81.75501429565138
8.0,81.76477460124441
8.1,81.7732329989362
8.2,81.77411170648807
8.3,81.77915567951926
8.4,81.77988213039272
8.5,81.78575385442038
8.6,81.812857181091
8.7,81.80749992874786
8.8,81.80203733850779
8.9,81.79676126650723
9.0,81.7992115839867
9.1,81.81400833646553
9.2,81.81391177115285
9.3,81.80618981806646
9.4,81.80808728841592
9.5,81.81753880585023
9.6,81.81296606642258
9.7,81.82698313696076
9.8,81.82957557224923
9.9,81.82653070114495
10.0,81.81973860605083
10.1,81.81883650795731
10.2,81.80569425873814
10.3,81.81808833888243
10.4,81.81873288139715
10.5,81.82352706913116
10.6,81.82305955793012
