K,ACC
1,83.69777047
1.1,83.71944531
1.2,83.7409216
1.3,83.76056886
1.4,83.80465532
1.5,83.82151676
1.6,83.83473419
1.7,83.86406377
1.8,83.89905132
1.9,83.92468378
2,83.94281996
2.1,83.94449043
2.2,83.96149772
2.3,84.00035543
2.4,84.00432709
2.5,84.03563565
2.6,84.04237968
2.7,84.04054329
2.8,84.03616588
2.9,84.05643407
3,84.0561895
3.1,84.06326194
3.2,84.08413649
3.3,84.10044114
3.4,84.09776075
3.5,84.11646344
3.6,84.13589975
3.7,84.14286814
3.8,84.17262431
3.9,84.1775369
4,84.18913667
4.1,84.20448318
4.2,84.21449162
4.3,84.24684577
4.4,84.25791449
4.5,84.26219311
4.6,84.2794514
4.7,84.27923041
4.8,84.28089033
4.9,84.29167286
5,84.29197623
5.1,84.3109074
5.2,84.31345092
5.3,84.33795259
5.4,84.35189258
5.5,84.36613901
5.6,84.38246734
5.7,84.39142972
5.8,84.41250871
5.9,84.42513068
6,84.44458722
6.1,84.44174357
6.2,84.45295493
6.3,84.44498998
6.4,84.44714572
6.5,84.4562251
6.6,84.46635412
6.7,84.46328278
6.8,84.46890648
6.9,84.48243105
7,84.49043573
7.1,84.48912746
7.2,84.50777937
7.3,84.52356347
7.4,84.54076215
7.5,84.56142397
7.6,84.57229633
7.7,84.55719298
7.8,84.57122781
7.9,84.5870119
8,84.60079149
8.1,84.59885719
8.2,84.60653755
8.3,84.61577495
8.4,84.61761207
8.5,84.62940426
8.6,84.63191071
8.7,84.66960414
8.8,84.67952317
8.9,84.6877402
9,84.70903118
9.1,84.70496523
9.2,84.73516636
9.3,84.73507051
9.4,84.74470141
9.5,84.75310208
9.6,84.75888421
9.7,84.76320622
9.8,84.76788216
9.9,84.76483496
10,84.77455526
10.1,84.77888267
10.2,84.77923263
10.3,84.77913621
10.4,84.78382096
10.5,84.78386842
10.6,84.77620171
10.7,84.78180517
10.8,84.79483162
10.9,84.80090025
11,84.79384585
11.1,84.79146882
11.2,84.80236698
11.3,84.80251515
11.4,84.81545558
11.5,84.80820799
11.6,84.81337693
11.7,84.80063683
11.8,84.80673125
11.9,84.82042086
12,84.82098745
12.1,84.83539787
12.2,84.8251
12.3,84.8226015
12.4,84.81199456
12.5,84.82180661
12.6,84.82178637
12.7,84.83254779
12.8,84.83708041
12.9,84.84758989
13,84.85041992
13.1,84.85817924
13.2,84.8662418
13.3,84.87925861
13.4,84.87148889
13.5,84.87095294
13.6,84.8757649
13.7,84.89154899
13.8,84.88952942
13.9,84.90277732
14,84.91110381
14.1,84.90422235
14.2,84.90665242
14.3,84.91135239
14.4,84.90901172
14.5,84.90679488
14.6,84.91435227
14.7,84.92904924
14.8,84.92575832
14.9,84.93410739
15,84.92382799
15.1,84.93134594
15.2,84.95615427
15.3,84.96080265
15.4,84.95070586
15.5,84.94463775
15.6,84.96002348
15.7,84.96016343
15.8,84.96794842
15.9,84.96010468
16,84.96496483
16.1,84.98580439
16.2,84.9799386
16.3,84.9832908
16.4,84.99795242
16.5,85.00561841
16.6,85.02101224
16.7,85.01783607
16.8,85.01615751
16.9,85.02678129
17,85.02407202
17.1,85.02978819
17.2,85.02439209
17.3,85.02687756
17.4,85.02033885
17.5,85.02526743
17.6,85.02486588
17.7,85.02159106
17.8,85.03359882
17.9,85.03643426
18,85.03675463
18.1,85.03866019
18.2,85.05435666
18.3,85.05468184
18.4,85.05959358
18.5,85.06696499
18.6,85.07117576
18.7,85.07655647
18.8,85.08161535
18.9,85.08827145
19,85.09083346
19.1,85.09326353
