K,ACC,,
1,78.04701397,,78.59653134
1.1,78.0474806,,
1.2,78.04495467,,
1.3,78.06190449,,
1.4,78.07971086,,
1.5,78.06525477,,
1.6,78.07930409,,
1.7,78.09271341,,
1.8,78.09989578,,
1.9,78.11469972,,
2,78.1364688,,
2.1,78.142387,,
2.2,78.15777602,,
2.3,78.18423964,,
2.4,78.1990654,,
2.5,78.17782499,,
2.6,78.1647738,,
2.7,78.1922012,,
2.8,78.2087756,,
2.9,78.20890516,,
3,78.21586886,,
3.1,78.25969142,,
3.2,78.2837596,,
3.3,78.29365699,,
3.4,78.29988891,,
3.5,78.29566445,,
3.6,78.31241012,,
3.7,78.32537731,,
3.8,78.32215146,,
3.9,78.32803498,,
4,78.33006966,,
4.1,78.34427488,,
4.2,78.33858364,,
4.3,78.35734903,,
4.4,78.36785603,,
4.5,78.39076677,,
4.6,78.38652861,,
4.7,78.38704109,,
4.8,78.39919471,,
4.9,78.40744061,,
5,78.41925768,,
5.1,78.41856492,,
5.2,78.44065117,,
5.3,78.45168441,,
5.4,78.45128549,,
5.5,78.45983672,,
5.6,78.44461133,,
5.7,78.45704963,,
5.8,78.46694754,,
5.9,78.46051018,,
6,78.45810324,,
6.1,78.44294099,,
6.2,78.46568616,,
6.3,78.47371413,,
6.4,78.46674179,,
6.5,78.46924589,,
6.6,78.4788976,,
6.7,78.47403438,,
6.8,78.47670189,,
6.9,78.46903692,,
7,78.46828378,,
7.1,78.4638758,,
7.2,78.46455889,,
7.3,78.46664762,,
7.4,78.48115461,,
7.5,78.4818843,,
7.6,78.48788472,,
7.7,78.49290825,,
7.8,78.50035836,,
7.9,78.51145287,,
8,78.5200892,,
8.1,78.51743299,,
8.2,78.52292084,,
8.3,78.52780738,,
8.4,78.52663277,,
8.5,78.53250174,,
8.6,78.52988568,,
8.7,78.53001185,,
8.8,78.53299062,,
8.9,78.53210213,,
9,78.52336114,,
9.1,78.52934057,,
9.2,78.55590118,,
9.3,78.55035311,,
9.4,78.54695112,,
9.5,78.55894687,,
9.6,78.56753964,,
9.7,78.57802081,,
9.8,78.5629456,,
9.9,78.57798198,,
10,78.56336857,,
10.1,78.56851669,,
10.2,78.57041082,,
10.3,78.57081237,,
10.4,78.57324961,,
10.5,78.56757359,,
10.6,78.55943689,,
10.7,78.56183956,,
10.8,78.5667881,,
10.9,78.56387367,,
11,78.57397426,,
11.1,78.57883689,,
11.2,78.58227261,,
11.3,78.58441852,,
11.4,78.59270866,,
11.5,78.58534928,,
11.6,78.58237051,,
11.7,78.5938237,,
11.8,78.59111107,,
