K,ACC,,,
1,74.21885104,,,
1.1,74.20860326,,,74.60744429
1.2,74.2374286,,,
1.3,74.22679449,,,
1.4,74.25284641,,,
1.5,74.25580484,,,
1.6,74.25716402,,,
1.7,74.26541619,,,
1.8,74.28283142,,,
1.9,74.30971773,,,
2,74.32299451,,,
2.1,74.34957863,,,
2.2,74.35111636,,,
2.3,74.33429592,,,
2.4,74.34194597,,,
2.5,74.36005951,,,
2.6,74.37043606,,,
2.7,74.36873492,,,
2.8,74.36854914,,,
2.9,74.3713469,,,
3,74.37414002,,,
3.1,74.38778551,,,
3.2,74.38779302,,,
3.3,74.39839034,,,
3.4,74.3794261,,,
3.5,74.37498267,,,
3.6,74.37627317,,,
3.7,74.38459274,,,
3.8,74.41359514,,,
3.9,74.41595462,,,
4,74.40500159,,,
4.1,74.40081582,,,
4.2,74.40591933,,,
4.3,74.42740333,,,
4.4,74.42810746,,,
4.5,74.41301934,,,
4.6,74.41596616,,,
4.7,74.4310212,,,
4.8,74.44382603,,,
4.9,74.46738901,,,
5,74.4708343,,,
5.1,74.47312787,,,
5.2,74.47277194,,,
5.3,74.48216117,,,
5.4,74.4627909,,,
5.5,74.44838726,,,
5.6,74.44541341,,,
5.7,74.44499354,,,
5.8,74.461083,,,
5.9,74.47046759,,,
6,74.46608011,,,
6.1,74.46889184,,,
6.2,74.47315322,,,
6.3,74.47847291,,,
6.4,74.48381912,,,
6.5,74.48546765,,,
6.6,74.50135342,,,
6.7,74.50281031,,,
6.8,74.49068616,,,
6.9,74.49708561,,,
7,74.50667527,,,
7.1,74.51307275,,,
7.2,74.50754868,,,
7.3,74.51963701,,,
7.4,74.51171909,,,
7.5,74.50875098,,,
7.6,74.53323732,,,
7.7,74.53068403,,,
7.8,74.52399458,,,
7.9,74.53305727,,,
8,74.52071962,,,
8.1,74.51609418,,,
8.2,74.52691208,,,
8.3,74.53335398,,,
8.4,74.55609668,,,
8.5,74.55862434,,,
8.6,74.54892826,,,
8.7,74.5620331,,,
8.8,74.5531171,,,
8.9,74.57375492,,,
9,74.58611603,,,
9.1,74.58952064,,,
9.2,74.59031524,,,
9.3,74.59730668,,,
9.4,74.60744429,,,
9.5,74.59844949,,,
9.6,74.59189168,,,
9.7,74.57658522,,,
9.8,74.57917969,,,
9.9,74.57207147,,,
10,74.56998535,,,
10.1,74.5448488,,,
10.2,74.54924863,,,
10.3,74.56132281,,,
10.4,74.55359652,,,
10.5,74.5437013,,,
10.6,74.53520407,,,
10.7,74.54191608,,,
10.8,74.5453207,,,
10.9,74.55606419,,,
11,74.55092861,,,
11.1,74.57129116,,,
11.2,74.57183782,,,
11.3,74.57487562,,,
11.4,74.57172569,,,
11.5,74.57148279,,,
11.6,74.57732767,,,
11.7,74.57167175,,,
11.8,74.57491016,,,
11.9,74.57237173,,,
12,74.55738963,,,
12.1,74.56633216,,,
12.2,74.55326997,,,
12.3,74.54970699,,,
12.4,74.55846177,,,
12.5,74.54186076,,,
12.6,74.54729259,,,
12.7,74.53863184,,,
12.8,74.53509034,,,
12.9,74.53585753,,,
13,74.52828209,,,
13.1,74.52782282,,,
13.2,74.53970605,,,
13.3,74.54479362,,,
13.4,74.53749445,,,
13.5,74.52528755,,,
13.6,74.52152313,,,
13.7,74.52169743,,,
13.8,74.51855018,,,
13.9,74.50977263,,,
14,74.5007316,,,
14.1,74.5014309,,,
14.2,74.50504207,,,
14.3,74.51159375,,,
14.4,74.4906206,,,
14.5,74.49327812,,,
14.6,74.48609009,,,
14.7,74.4816272,,,
14.8,74.49029547,,,
14.9,74.49162437,,,
15,74.49695573,,,
15.1,74.49361001,,,
15.2,74.51724582,,,
15.3,74.50331113,,,
15.4,74.50652412,,,
15.5,74.50689974,,,
15.6,74.51338283,,,
15.7,74.50733051,,,
15.8,74.50573585,,,
15.9,74.50014892,,,
16,74.49682795,,,
16.1,74.48792469,,,
16.2,74.46680752,,,
16.3,74.46975287,,,
16.4,74.47054747,,,
16.5,74.46860804,,,
16.6,74.47263028,,,
16.7,74.46258422,,,
16.8,74.45708182,,,
16.9,74.47254664,,,
17,74.45693512,,,
17.1,74.46000283,,,
17.2,74.46816162,,,
17.3,74.46142992,,,
17.4,74.46693231,,,
17.5,74.47379389,,,
17.6,74.46741503,,,
17.7,74.4596093,,,
17.8,74.44394276,,,
17.9,74.4221847,,,
18,74.41892835,,,
18.1,74.40997601,,,
18.2,74.41041379,,,
18.3,74.4074437,,,
18.4,74.40198466,,,
18.5,74.40239771,,,
18.6,74.40167209,,,
18.7,74.37741576,,,
18.8,74.37981445,,,
18.9,74.38086571,,,
19,74.36889903,,,
19.1,74.37202264,,,
19.2,74.36929455,,,
19.3,74.36632446,,,
19.4,74.36630566,,,
19.5,74.3582953,,,
19.6,74.34839593,,,
19.7,74.34916687,,,
19.8,74.34527825,,,
19.9,74.3383074,,,
20,74.33991832,,,
20.1,74.34932617,,,
20.2,74.34335857,,,
20.3,74.33818557,,,
20.4,74.33812341,,,
20.5,74.34463499,,,
20.6,74.34826013,,,
20.7,74.34810177,,,
20.8,74.34711554,,,
20.9,74.36453968,,,
21,74.35062094,,,
21.1,74.34097823,,,
21.2,74.35010576,,,
21.3,74.35717281,,,
21.4,74.35647154,,,
21.5,74.35609592,,,
21.6,74.33794419,,,
21.7,74.3419408,,,
21.8,74.35469021,,,
21.9,74.3489458,,,
22,74.3395057,,,
22.1,74.33673139,,,
22.2,74.33052773,,,
22.3,74.32382055,,,
22.4,74.32132655,,,
22.5,74.32530257,,,
22.6,74.3278134,,,
22.7,74.33349474,,,
22.8,74.34032782,,,
22.9,74.34607222,,,
23,74.35044574,,,
23.1,74.33808196,,,
23.2,74.33478533,,,
23.3,74.32549943,,,
23.4,74.32951881,,,
23.5,74.30469523,,,
23.6,74.3199025,,,
23.7,74.31336944,,,
23.8,74.30030911,,,
23.9,74.30037217,,,
24,74.29777681,,,
24.1,74.29388819,,,
24.2,74.30435126,,,
24.3,74.29325867,,,
24.4,74.28908508,,,
24.5,74.28670699,,,
24.6,74.28941824,,,
24.7,74.28308096,,,
24.8,74.27705624,,,
24.9,74.27406467,,,
25,74.26681172,,,
25.1,74.26451351,,,
25.2,74.26372484,,,
25.3,74.24623281,,,
25.4,74.25071155,,,
25.5,74.24983925,,,
25.6,74.24940344,,,
25.7,74.24001242,,,
25.8,74.23682507,,,
25.9,74.230407,,,
26,74.22765131,,,
26.1,74.22422195,,,
26.2,74.22694915,,,
26.3,74.23046215,,,
26.4,74.22825924,,,
26.5,74.22967635,,,
26.6,74.23341363,,,
26.7,74.22957123,,,
26.8,74.22632082,,,
26.9,74.23274877,,,
27,74.2300581,,,
27.1,74.23678695,,,
27.2,74.22765941,,,
27.3,74.21283498,,,
27.4,74.20964763,,,
27.5,74.19992306,,,
27.6,74.19701602,,,
27.7,74.19754121,,,
27.8,74.19219302,,,
27.9,74.18666173,,,
28,74.19352044,,,
28.1,74.18596934,,,
28.2,74.17607591,,,
28.3,74.16454969,,,
28.4,74.15175079,,,
28.5,74.13910343,,,
28.6,74.13957953,,,
28.7,74.13023473,,,
28.8,74.1211937,,,
28.9,74.11274467,,,
29,74.10595098,,,
29.1,74.09922214,,,
29.2,74.09686087,,,
29.3,74.09011143,,,
29.4,74.0929488,,,
29.5,74.08755854,,,
29.6,74.08468197,,,
29.7,74.08171187,,,
29.8,74.09018436,,,
29.9,74.0740645,,,
30,74.06674653,,,
30.1,74.06256879,,,
30.2,74.07185468,,,
30.3,74.07185468,,,
30.4,74.07851564,,,
30.5,74.08128995,,,
30.6,74.08150721,,,
30.7,74.08075597,,,
30.8,74.07534008,,,
30.9,74.07868579,,,
31,74.07215273,,,
31.1,74.08147891,,,
31.2,74.08110328,,,
31.3,74.0701456,,,
31.4,74.06675653,,,
31.5,74.06644396,,,
31.6,74.06262215,,,
31.7,74.05263499,,,
31.8,74.04346123,,,
31.9,74.0407084,,,
32,74.04127981,,,
32.1,74.03548829,,,
32.2,74.03247484,,,
32.3,74.02749763,,,
32.4,74.02472332,,,
32.5,74.00872827,,,
32.6,74.00936451,,,
32.7,74.00713311,,,
32.8,74.00451301,,,
32.9,74.00665108,,,
33,74.0189916,,,
33.1,74.01233064,,,
33.2,73.99963419,,,
33.3,73.98661804,,,
33.4,73.97194189,,,
33.5,73.95918239,,,
33.6,73.95896512,,,
33.7,73.96451374,,,
33.8,73.97366691,,,
33.9,73.97324793,,,
34,73.96473101,,,
34.1,73.96791836,,,
34.2,73.96112467,,,
34.3,73.9639364,,,
34.4,73.95397398,,,
34.5,73.95958566,,,
34.6,73.95956507,,,
34.7,73.95962812,,,
34.8,73.9503838,,,
34.9,73.93810633,,,
35,73.93795212,,,
35.1,73.93201194,,,
35.2,73.9321703,,,
35.3,73.92897701,,,
35.4,73.92285699,,,
35.5,73.919644,,,
35.6,73.91409538,,,
35.7,73.91066603,,,
35.8,73.91060119,,,
35.9,73.89766868,,,
36,73.90063877,,,
36.1,73.90107744,,,
36.2,73.91752256,,,
36.3,73.92986307,,,
36.4,73.90878747,,,
36.5,73.89780702,,,
36.6,73.89761124,,,
36.7,73.89426553,,,
36.8,73.89442389,,,
36.9,73.8816438,,,
37,73.87308767,,,
37.1,73.86976758,,,
37.2,73.86061442,,,
37.3,73.85111126,,,
37.4,73.85825315,,,
37.5,73.85229149,,,
37.6,73.84851214,,,
37.7,73.84516643,,,
37.8,73.82635965,,,
37.9,73.81736485,,,
38,73.81734426,,,
38.1,73.82763232,,,
38.2,73.83365704,,,
38.3,73.82784958,,,
38.4,73.82389505,,,
38.5,73.8204845,,,
38.6,73.80995067,,,
38.7,73.80711331,,,
38.8,73.80645827,,,
38.9,73.80368396,,,
39,73.79195909,,,
39.1,73.79138769,,,
39.2,73.79404521,,,
39.3,73.79275392,,,
39.4,73.78997961,,,
39.5,73.78100164,,,
39.6,73.78744533,,,
39.7,73.78058662,,,
39.8,73.78058662,,,
39.9,73.78316515,,,
40,73.7762131,,,
40.1,73.76882743,,,
40.2,73.76866907,,,
40.3,73.76523971,,,
40.4,73.76097833,,,
40.5,73.76445194,,,
40.6,73.76900529,,,
40.7,73.7717796,,,
40.8,73.77156234,,,
40.9,73.76502928,,,
41,73.76845863,,,
41.1,73.76574737,,,
41.2,73.76231802,,,
41.3,73.76523902,,,
41.4,73.76858474,,,
41.5,73.76163269,,,
41.6,73.76163269,,,
41.7,73.75464036,,,
41.8,73.75202026,,,
41.9,73.75536597,,,
42,73.74556191,,,
42.1,73.75726798,,,
42.2,73.75783938,,,
42.3,73.75783938,,,
42.4,73.74951645,,,
42.5,73.75305794,,,
42.6,73.75627004,,,
42.7,73.75284068,,,
42.8,73.7471425,,,
42.9,73.75644899,,,
43,73.75928635,,,
43.1,73.76212371,,,
43.2,73.75845433,,,
43.3,73.75284266,,,
43.4,73.75305992,,,
43.5,73.75867159,,,
43.6,73.75506526,,,
43.7,73.75145892,,,
43.8,73.73254001,,,
43.9,73.72889339,,,
44,73.72574346,,,
44.1,73.72578503,,,
44.2,73.72004063,,,
44.3,73.71707054,,,
44.4,73.71707054,,,
44.5,73.69255201,,,
44.6,73.69538938,,,
