K,ACC,,,,,
1,72.97311661,,,,,
1.1,72.9945995,,,,,
1.2,72.98851113,,,,,
1.3,73.00262401,,,,,
1.4,72.99728304,,,,,
1.5,72.98405552,,,,,
1.6,72.9644879,,,,,73.03318257
1.7,72.98010142,,,,,
1.8,72.97133994,,,,,
1.9,72.99099969,,,,,
2,72.9747388,,,,,
2.1,72.97564835,,,,,
2.2,72.97284251,,,,,
2.3,72.98289605,,,,,
2.4,72.96579894,,,,,
2.5,72.95975371,,,,,
2.6,72.9692953,,,,,
2.7,72.98360555,,,,,
2.8,72.99647012,,,,,
2.9,72.99677873,,,,,
3,72.97827831,,,,,
3.1,72.98516053,,,,,
3.2,72.95775219,,,,,
3.3,72.95811513,,,,,
3.4,72.97090909,,,,,
3.5,72.95962621,,,,,
3.6,72.97515613,,,,,
3.7,72.98078152,,,,,
3.8,73.00186277,,,,,
3.9,73.00316006,,,,,
4,72.99168489,,,,,
4.1,73.01134464,,,,,
4.2,73.02317219,,,,,
4.3,73.02424193,,,,,
4.4,73.03318257,,,,,
4.5,73.02953453,,,,,
4.6,72.988715,,,,,
4.7,72.99542059,,,,,
4.8,72.98801076,,,,,
4.9,72.98801076,,,,,
5,72.98444379,,,,,
5.1,72.97281961,,,,,
5.2,72.98907452,,,,,
5.3,72.98138279,,,,,
5.4,72.95549151,,,,,
5.5,72.96346168,,,,,
5.6,72.96228071,,,,,
5.7,72.96536842,,,,,
5.8,72.95646303,,,,,
5.9,72.95333743,,,,,
6,72.96473407,,,,,
6.1,72.97375578,,,,,
6.2,72.97574613,,,,,
6.3,72.99292509,,,,,
6.4,72.98919598,,,,,
6.5,72.97933207,,,,,
6.6,72.99013822,,,,,
6.7,73.00108234,,,,,
6.8,72.98002006,,,,,
6.9,72.99821187,,,,,
7,72.99427422,,,,,
7.1,73.00936981,,,,,
7.2,73.01601851,,,,,
7.3,73.02371875,,,,,
7.4,73.02337999,,,,,
7.5,73.02031646,,,,,
7.6,73.01703136,,,,,
7.7,73.02449809,,,,,
7.8,73.02424637,,,,,
7.9,73.0151109,,,,,
8,73.0107646,,,,,
8.1,72.97315358,,,,,
8.2,72.96992791,,,,,
8.3,72.96778244,,,,,
8.4,72.95318178,,,,,
8.5,72.9212263,,,,,
8.6,72.92296239,,,,,
8.7,72.93000675,,,,,
8.8,72.93739241,,,,,
8.9,72.94452037,,,,,
9,72.9426326,,,,,
9.1,72.9455195,,,,,
9.2,72.93748647,,,,,
9.3,72.95250951,,,,,
9.4,72.94812451,,,,,
9.5,72.95152083,,,,,
9.6,72.93983125,,,,,
9.7,72.93910027,,,,,
9.8,72.93576084,,,,,
9.9,72.92497886,,,,,
10,72.90075301,,,,,
10.1,72.9045717,,,,,
10.2,72.88482834,,,,,
